ram_used,ram_ava,cpu,temp
298908,5994756,1.1,59.4
304180,5979308,30.4,59.887
305180,5976828,42.1,60.374
306264,5975744,33.3,59.887
306780,5975228,30.8,59.4
306816,5975192,25.0,60.374
307276,5974732,33.3,59.4
307420,5974588,20.0,60.861
307400,5974608,30.8,60.861
307460,5974548,23.1,60.861
307432,5974576,25.0,60.374
307448,5974560,28.6,59.887
306896,5975112,25.0,58.913
307164,5974844,28.6,59.887
306424,5975584,18.2,60.374
306808,5975076,25.0,59.4
306372,5975404,23.1,60.374
306732,5975044,30.8,59.887
306736,5975040,23.1,59.887
307332,5974444,18.2,59.4
307988,5973788,18.2,60.374
307396,5974380,28.6,59.887
307904,5973872,25.0,60.374
306976,5974800,23.1,60.374
307176,5974600,25.0,60.374
307832,5973944,25.0,60.374
305684,5976092,23.1,59.4
305792,5975984,18.2,60.374
306344,5975432,28.6,60.374
306064,5975712,25.0,60.374
306332,5975444,28.6,59.4
306040,5975736,25.0,60.861
306380,5975396,23.1,61.348
306320,5975456,18.2,59.4
305972,5975804,23.1,59.887
306068,5975708,25.0,60.374
306012,5975764,30.8,60.861
306508,5975268,23.1,59.887
306456,5975320,25.0,60.861
306416,5975360,23.1,60.374
306372,5975404,25.0,59.887
306460,5975316,25.0,60.861
306648,5975128,23.1,60.861
306156,5975620,25.0,60.374
306544,5975232,28.6,60.374
306632,5975144,25.0,61.348
306176,5975648,23.1,60.374
306172,5975632,21.4,60.374
306256,5975548,26.3,59.887
306208,5975596,26.3,59.887
306388,5975416,18.2,59.887
306484,5975320,28.6,59.4
307668,5978872,25.0,61.348
307340,5979200,30.8,60.374
307588,5978952,23.1,60.861
307680,5978860,25.0,59.4
307164,5979376,23.1,60.374
307504,5979036,25.0,58.913
307884,5978656,25.0,60.374
307236,5979304,28.6,60.861
307328,5979212,18.2,59.887
307332,5979208,28.6,60.861
307764,5978776,30.8,60.374
307724,5978816,23.1,61.348
307680,5978860,25.0,59.887
307776,5978764,30.8,59.887
307732,5978808,16.7,60.374
307924,5978616,25.0,60.374
307872,5978668,23.1,60.374
307588,5978952,30.8,60.861
307672,5978868,28.6,59.4
307632,5978908,30.8,59.887
307556,5978984,18.2,60.861
307656,5978884,23.1,61.348
307020,5979520,30.8,60.374
307740,5978800,16.7,60.861
307852,5978708,25.0,59.887
307904,5978648,28.6,61.348
308000,5978552,25.0,60.374
308000,5978552,30.8,60.861
307948,5978604,16.7,61.348
307900,5978652,25.0,60.861
308088,5978464,23.1,60.374
308480,5986212,35.7,61.348
308432,5986260,18.2,59.887
308032,5986780,28.6,60.861
307984,5986828,25.0,59.887
308176,5986636,30.8,61.348
308260,5986552,16.7,60.374
308212,5986600,30.8,60.861
308452,5986360,23.1,60.374
308128,5986684,30.8,60.861
308468,5986344,28.6,60.861
308560,5986252,25.0,61.348
308292,5986520,16.7,61.348
308672,5986140,25.0,61.348
308028,5986784,16.7,60.861
308372,5986440,25.0,60.861
308772,5986040,23.1,61.348
308276,5986536,25.0,60.861
308236,5986576,25.0,60.861
308188,5986624,23.1,60.861
308512,5986300,25.0,61.348
308464,5986348,28.6,61.835
308704,5986108,30.8,60.374
308644,5986168,23.1,61.835
308352,5986460,30.8,60.374
308972,5985840,9.1,61.348
308976,5985884,25.0,60.861
308472,5986388,23.1,60.861
308660,5986172,25.0,60.861
308620,5986212,28.6,60.861
308812,5986020,25.0,61.348
308532,5986300,23.1,60.374
308780,5986052,30.8,60.861
308132,5987440,30.8,60.861
308060,5987512,23.1,60.861
307972,5987600,25.0,60.861
308288,5987284,9.1,61.348
308236,5987336,25.0,60.374
307996,5987576,23.1,60.374
307896,5987676,25.0,61.348
308376,5987196,25.0,61.348
307884,5987688,23.1,61.348
308204,5987368,30.8,61.835
308156,5987416,28.6,61.348
308112,5987460,25.0,61.348
308448,5987124,16.7,61.835
308040,5987532,18.2,60.374
308420,5987152,30.8,60.861
308024,5987548,23.1,61.348
308308,5987264,25.0,60.861
308248,5987324,28.6,60.861
308348,5987224,30.8,60.861
308292,5987280,16.7,61.348
308208,5987364,25.0,60.374
308048,5987524,23.1,60.861
308232,5987340,18.2,62.322
308488,5987084,30.8,61.835
308168,5987404,23.1,61.348
308124,5987496,25.0,60.374
308376,5987300,23.1,61.835
309452,5986224,30.8,60.374
309392,5986284,25.0,61.348
308896,5986780,25.0,62.322
308852,5986824,23.1,60.861
308936,5986740,25.0,61.348
309252,5986424,23.1,61.348
309248,5986428,30.8,60.374
308872,5986804,30.8,61.835
308596,5987080,23.1,60.861
309372,5986304,30.8,60.861
309296,5986380,23.1,60.861
309232,5986444,25.0,60.861
309180,5986496,16.7,61.835
309520,5986156,18.2,60.374
308772,5986904,30.8,61.835
309472,5986204,23.1,60.861
309196,5986480,30.8,61.348
309264,5986412,30.8,60.861
309684,5985992,23.1,61.835
308856,5986820,25.0,60.861
308836,5986840,28.6,60.861
308904,5986772,18.2,61.835
308512,5987164,23.1,61.835
308676,5987000,25.0,60.861
308636,5987040,25.0,61.348
309132,5986544,23.1,60.861
309124,5986552,25.0,60.374
308928,5986748,28.6,61.348
308848,5986828,25.0,62.322
308928,5986772,23.1,61.348
309484,5986196,30.8,61.348
308904,5986776,23.1,61.835
309132,5986548,30.8,60.374
309444,5986236,25.0,61.348
309212,5986468,28.6,60.861
309532,5986148,30.8,61.835
308992,5986688,25.0,61.348
308860,5986820,16.7,61.348
309424,5986256,25.0,62.322
308732,5986948,16.7,60.374
309376,5986304,25.0,61.348
309084,5986596,23.1,61.348
308836,5986844,25.0,60.861
309280,5986400,23.1,60.374
308896,5986784,25.0,61.348
309016,5986664,23.1,61.348
308780,5986900,30.8,62.322
309028,5986652,16.7,62.322
309592,5986088,30.8,62.322
309060,5986620,23.1,61.835
309328,5986352,23.1,60.861
309092,5986588,25.0,60.861
309404,5986276,23.1,61.348
308816,5986864,25.0,61.348
308876,5986804,28.6,62.322
308880,5986800,25.0,61.835
308736,5986944,28.6,59.887
308992,5986688,25.0,61.835
308756,5986924,33.3,61.348
309216,5986464,25.0,61.348
308996,5986700,23.1,61.835
309220,5986452,30.8,60.861
309488,5986184,23.1,60.861
308956,5986716,25.0,61.835
309120,5986552,28.6,61.835
308988,5986684,25.0,62.322
309152,5986520,16.7,61.835
308872,5986800,25.0,61.835
309012,5986660,28.6,62.809
309580,5986092,30.8,60.861
308972,5986700,16.7,61.835
308916,5986756,30.8,60.374
309240,5986432,33.3,61.348
309372,5986300,25.0,61.835
309564,5986108,25.0,60.861
309060,5986612,23.1,62.809
309352,5986320,18.2,61.348
308956,5986716,28.6,61.348
309364,5986308,18.2,61.348
309168,5986504,28.6,61.348
309652,5986020,25.0,61.348
309448,5986224,25.0,60.861
309120,5986552,28.6,61.835
309220,5986452,25.0,61.348
309392,5986280,23.1,61.348
309112,5986560,30.8,61.835
309344,5986328,23.1,61.348
309488,5986184,18.2,61.835
308984,5986676,23.1,62.809
309200,5986460,18.2,60.861
308940,5986720,28.6,62.322
308992,5986704,25.0,62.322
308596,5987080,28.6,61.835
308564,5987112,18.2,61.835
308536,5987140,23.1,61.348
308300,5987376,25.0,61.348
308156,5987520,28.6,61.348
308160,5987516,25.0,61.835
308084,5987592,23.1,62.322
307620,5988056,23.1,61.348
307568,5988108,30.8,61.348
307312,5988364,16.7,62.322
307196,5988480,25.0,61.348
307216,5988460,28.6,61.348
307324,5988352,25.0,62.322
306976,5988700,18.2,61.348
307040,5988636,23.1,62.322
307812,5987840,30.8,61.348
307896,5987756,28.6,61.835
307352,5988300,25.0,62.322
306804,5988848,28.6,62.322
306252,5989400,18.2,60.861
306540,5989112,23.1,62.322
305984,5989668,25.0,62.322
306240,5989412,33.3,61.835
307300,5988352,25.0,61.835
307584,5988068,30.8,61.835
307380,5988272,23.1,61.835
307120,5988532,25.0,61.835
306928,5988724,23.1,62.322
307032,5988620,18.2,62.809
306980,5988672,23.1,62.322
306936,5988716,30.8,61.835
306900,5988768,28.6,61.348
307220,5988440,25.0,61.348
307156,5988504,28.6,62.809
307424,5988236,25.0,62.322
307060,5988600,16.7,62.322
307544,5988116,25.0,61.348
307032,5988628,23.1,62.322
307540,5988120,18.2,61.348
307216,5988444,16.7,61.835
307312,5988348,25.0,61.835
307484,5988176,16.7,61.348
307396,5988264,25.0,61.835
307388,5988272,23.1,61.835
307380,5988280,25.0,61.835
307120,5988540,23.1,62.322
307352,5988308,25.0,62.809
307516,5988144,23.1,62.322
307360,5988300,25.0,62.809
308048,5987612,16.7,61.835
307188,5988472,25.0,60.861
307684,5987976,23.1,62.809
307424,5988236,18.2,62.322
307428,5988232,28.6,61.348
307684,5987976,18.2,62.322
307172,5988488,23.1,63.296
307404,5988256,25.0,62.322
307840,5987820,23.1,61.348
307512,5988148,25.0,61.348
307568,5984540,35.7,62.322
307664,5984444,23.1,62.809
307804,5984304,25.0,62.322
307860,5984188,23.1,62.322
307440,5984508,30.8,61.835
307388,5984560,16.7,61.835
307316,5984632,30.8,61.835
307468,5984480,23.1,62.809
307860,5984088,25.0,62.322
307812,5984136,23.1,62.322
307520,5984428,18.2,61.835
306948,5985000,23.1,61.348
307192,5984756,25.0,61.835
307288,5984660,23.1,62.322
307204,5984744,18.2,61.835
307208,5984740,23.1,61.835
306780,5985168,23.1,62.809
307364,5984584,25.0,63.296
307368,5984580,16.7,61.835
307120,5984828,30.8,62.322
307080,5984868,23.1,60.861
307336,5984612,18.2,62.322
307684,5984264,25.0,61.835
308236,5983712,33.3,61.348
307428,5984520,25.0,61.835
307684,5984264,40.0,62.322
307424,5984524,23.1,62.322
308112,5983836,28.6,62.322
308184,5983764,25.0,62.322
308188,5983760,23.1,62.322
307632,5984316,25.0,61.835
307636,5984312,33.3,62.809
307628,5984320,30.8,62.322
