ram_used,ram_ava,cpu,temp
308592,5976788,2.1,63.296
333912,5953640,32.4,64.27
351380,5934980,34.2,64.757
350808,5935520,27.9,65.731
353448,5932880,27.1,64.757
355240,5931088,31.2,65.731
354208,5932120,28.6,66.705
354636,5940572,27.2,66.218
355680,5939668,26.2,65.731
353072,5942276,27.6,65.244
353872,5941476,31.5,67.192
357432,5941024,29.2,66.218
354748,5943716,25.7,66.218
355876,5942584,29.9,66.218
355292,5943156,30.4,67.192
355604,5942844,27.8,66.705
356344,5942104,28.2,67.192
354508,5943940,28.2,66.218
355684,5942764,28.8,66.705
355108,5943340,27.5,66.705
353044,5945404,30.7,66.218
353432,5945016,29.1,65.731
354992,5943456,27.9,67.679
353456,5944992,29.1,68.166
354396,5944052,29.1,67.192
355304,5943144,30.1,67.192
353516,5944932,28.4,68.653
354308,5944140,30.1,67.192
355012,5943436,28.4,66.705
354832,5943616,28.2,68.166
353268,5945180,29.7,67.192
354324,5944124,29.7,67.192
355660,5942772,28.8,66.218
353616,5944812,30.4,68.166
354568,5943856,30.1,68.166
355944,5942472,28.2,66.218
354172,5944244,29.6,67.679
355308,5943104,26.6,67.679
354064,5944344,32.5,67.679
354748,5943656,27.8,67.679
355624,5942792,30.0,68.166
354096,5944312,30.0,66.705
355288,5943120,31.0,68.166
356024,5942384,28.4,68.166
354392,5944016,30.4,67.679
355184,5943224,29.7,67.192
353912,5944496,32.1,67.679
354448,5943960,29.5,68.166
355740,5942668,29.5,68.166
353684,5944724,28.6,68.653
354876,5943532,28.8,67.192
355912,5942496,30.8,67.679
354228,5944180,28.8,68.653
355028,5943388,28.2,68.166
356072,5942344,31.9,68.653
354500,5943916,28.2,68.653
355456,5942960,32.1,68.653
357060,5942092,29.4,68.166
357316,5941836,30.3,68.653
354712,5944440,27.6,67.679
355924,5943316,29.5,68.166
357220,5942020,28.8,68.166
354596,5944640,29.2,68.653
356264,5943004,29.5,68.653
357308,5941960,30.8,67.679
355268,5944000,26.7,69.14
356312,5942956,27.2,69.14
357448,5941820,30.2,68.166
355312,5943956,28.8,69.14
356624,5942644,29.2,68.653
357284,5941984,29.1,68.653
355372,5943896,29.5,68.653
356412,5942856,28.6,68.166
357192,5942076,30.3,69.14
354820,5944448,29.5,69.14
355956,5943308,31.8,67.679
357144,5942116,28.8,69.14
354864,5944392,28.8,69.14
356496,5942756,29.2,69.14
357532,5941712,28.8,68.166
356352,5945844,31.8,68.653
357688,5944504,25.7,68.653
358772,5943416,29.5,69.14
356756,5945456,30.8,68.653
358052,5944160,28.2,69.627
358936,5943276,27.5,68.653
357200,5945012,30.2,68.653
358096,5944116,30.2,69.14
358992,5943220,29.9,70.114
357108,5945104,27.5,69.14
357900,5944312,30.2,69.627
358800,5943412,29.1,69.627
357184,5945028,34.2,68.166
357948,5944264,28.2,69.14
358740,5943472,28.6,70.114
356956,5945256,28.2,68.653
357660,5944552,32.1,68.653
358580,5943624,28.2,69.14
356992,5945212,29.5,69.14
357692,5944508,28.6,68.653
358868,5943328,29.5,68.166
356684,5945508,32.1,68.653
358272,5943916,28.8,69.14
358880,5943332,30.8,69.14
357100,5945112,28.2,68.166
357892,5944320,27.9,69.14
359084,5943128,30.5,69.627
356908,5945304,29.2,69.627
358188,5944024,29.5,69.14
358968,5943244,29.5,69.14
356948,5945264,30.2,69.14
357992,5944220,32.1,68.653
359024,5943188,28.8,69.627
356992,5945220,31.5,68.653
357696,5944516,28.2,69.627
358920,5943292,27.9,69.14
357036,5945176,29.5,69.14
357784,5944428,30.2,69.14
358992,5943220,28.8,69.14
356828,5945372,29.5,68.653
357784,5944416,29.5,69.627
358912,5943284,30.2,69.627
357012,5945180,29.5,69.627
357560,5944624,26.5,69.14
359064,5943148,30.2,68.653
356940,5945272,29.5,69.14
357984,5944228,29.5,69.627
359028,5943184,28.2,69.627
357492,5944720,28.8,69.627
358032,5944180,30.1,69.14
358828,5943384,31.8,69.14
357284,5944928,27.2,68.166
357720,5944492,30.8,68.653
356000,5946212,29.0,69.627
357948,5944248,30.0,69.14
358832,5943364,30.3,69.14
356436,5945760,27.6,69.14
358516,5943680,27.6,69.627
356568,5945624,30.6,69.14
358524,5943668,26.9,69.14
358196,5943996,29.5,68.653
356876,5945316,32.1,68.653
357544,5944632,28.2,70.114
358204,5943984,27.2,69.14
356656,5945528,29.5,68.653
357844,5944336,28.2,69.627
358240,5943940,31.5,69.14
356920,5945260,28.2,69.14
357396,5944784,28.0,69.14
356088,5946080,29.6,69.14
356116,5946052,29.2,69.14
357612,5944552,28.6,70.114
355872,5946288,29.2,70.114
356620,5945540,28.8,69.14
357976,5944184,30.2,69.14
355668,5946492,28.8,69.627
356664,5945480,27.9,70.114
358044,5944096,30.2,69.627
356252,5945884,29.5,70.114
356996,5945136,32.1,68.653
358584,5943544,27.5,69.14
357572,5944556,30.2,69.14
358084,5944044,30.8,69.627
356884,5945244,28.2,69.14
357996,5944204,28.6,69.627
355956,5946244,31.1,69.14
356896,5945304,27.5,69.627
357976,5944224,31.1,69.627
356452,5945748,28.8,70.114
357436,5944764,28.8,69.14
358300,5943900,29.5,69.627
