ram_used,ram_ava,cpu,temp
301164,5996048,1.1,54.043
305228,5980752,31.1,55.504
305612,5979776,52.9,55.504
305720,5978928,37.5,56.478
305448,5979200,33.3,55.991
306160,5978488,30.8,55.991
305924,5978724,25.0,55.504
306192,5978456,23.1,56.478
305848,5978800,30.8,55.504
305716,5978932,23.1,55.017
305584,5979064,23.1,56.965
306192,5978456,25.0,55.017
305848,5978800,23.1,55.017
306532,5978116,28.6,55.991
306240,5978408,30.8,55.991
306936,5977712,23.1,56.478
306940,5977708,23.1,55.504
307744,5976904,18.2,55.504
307428,5977220,28.6,55.017
307684,5976964,16.7,56.478
307624,5977024,25.0,55.991
307924,5976724,23.1,55.991
307940,5976708,33.3,56.478
307636,5977012,25.0,56.478
307816,5976832,28.6,55.017
307668,5976980,16.7,55.991
308104,5976544,25.0,56.478
308052,5976596,23.1,55.017
307160,5977184,23.1,55.991
307484,5976860,30.8,55.991
307180,5977164,23.1,55.991
307616,5976728,28.6,55.504
307312,5977032,30.8,56.478
307556,5976788,23.1,55.991
307044,5977300,23.1,55.504
307560,5976784,18.2,56.965
307400,5976944,33.3,55.991
307700,5976644,23.1,56.478
307984,5976448,25.0,55.504
307324,5977108,23.1,55.017
307428,5977004,23.1,55.991
307512,5976920,18.2,56.965
307664,5976768,33.3,55.504
307664,5976768,23.1,56.965
307404,5977028,31.3,55.991
307596,5976836,26.3,55.991
307896,5976536,23.5,55.991
307728,5976704,23.1,55.991
307584,5976848,23.1,56.478
307764,5976668,23.1,55.991
308064,5976368,35.7,55.991
307528,5976840,23.1,56.478
307396,5976972,23.1,55.504
307368,5977000,25.0,56.965
308172,5976196,16.7,55.991
307672,5976696,33.3,55.991
307632,5976736,16.7,56.478
307644,5976696,25.0,55.504
307500,5976840,23.1,56.478
308096,5976244,23.1,56.478
307876,5976552,23.1,55.504
307572,5976856,23.1,55.991
307564,5976864,28.6,56.478
309244,5986728,30.8,56.478
309124,5986848,25.0,56.965
309572,5986400,28.6,55.991
309600,5986372,28.6,56.965
309308,5986664,25.0,56.478
309048,5986924,28.6,56.478
309280,5986692,16.7,55.504
309568,5986404,23.1,55.991
309728,5986244,30.8,55.991
309688,5986284,28.6,56.965
309352,5986620,16.7,56.478
309208,5986764,25.0,55.991
309312,5986660,23.1,57.452
309648,5986324,23.1,55.504
309284,5986688,18.2,56.965
309288,5986684,28.6,55.991
309480,5986492,28.6,56.965
309736,5986236,16.7,56.478
309520,5986452,25.0,56.478
309364,5986608,23.1,57.452
309412,5986560,23.1,56.478
309260,5986712,30.8,56.965
309456,5986516,33.3,56.965
309324,5986648,16.7,56.478
309424,5986548,25.0,55.991
309492,5986508,23.1,56.965
309896,5986104,23.1,58.426
309840,5986160,25.0,57.452
309792,5986208,28.6,55.991
309576,5986424,28.6,57.452
