ram_used,ram_ava,cpu,temp
308260,6040360,1.2,59.4
309612,6027776,31.0,59.887
311324,6024436,50.0,59.887
310912,6024848,26.7,59.887
311276,6024484,26.7,59.887
311552,6024208,26.7,60.374
311500,6024260,33.3,59.4
311632,6024128,25.0,61.348
313120,6022640,26.7,59.4
314148,6021612,25.0,60.374
314996,6020756,25.0,60.374
315492,6020260,20.0,60.374
315988,6019764,29.4,59.4
316472,6019280,15.4,59.887
316216,6019536,25.0,60.374
316712,6019040,25.0,60.374
316144,6019608,25.0,59.887
316124,6019628,26.7,61.835
316516,6019236,20.0,59.887
316348,6019404,25.0,60.861
315928,6019824,20.0,61.348
315932,6019588,29.4,60.374
315872,6019648,21.4,60.374
315704,6019816,29.4,60.374
315948,6019572,14.3,59.887
315788,6019732,25.0,60.861
316360,6019160,20.0,60.374
315792,6019728,29.4,60.374
315992,6019528,26.7,61.348
316164,6019356,20.0,60.374
316400,6019120,20.0,59.887
316424,6019096,25.0,59.887
316112,6019408,25.0,60.861
316136,6019384,25.0,60.861
316032,6019488,30.4,59.4
316364,6019156,23.5,59.4
315952,6019568,25.0,60.861
315932,6019588,21.4,61.348
315956,6019564,20.0,60.374
316408,6019112,25.0,60.374
316320,6019200,29.4,60.374
316156,6019364,25.0,59.4
316328,6019192,20.0,59.887
316832,6018688,26.7,60.374
316240,6019300,25.0,61.348
316168,6019352,20.0,60.861
316664,6018856,20.0,60.374
316688,6018832,25.0,60.861
316372,6019148,20.0,61.348
316552,6018968,33.3,61.348
315828,6028572,31.2,59.887
315292,6029108,20.0,60.861
315984,6028416,26.7,59.887
316216,6028184,20.0,61.835
316240,6028160,20.0,60.374
316440,6027960,20.0,60.374
316168,6028232,25.0,60.861
316152,6028248,25.0,61.348
315836,6028564,25.0,60.861
316300,6028080,21.4,59.887
316576,6027804,29.4,60.861
316316,6028064,20.0,60.374
316516,6027864,25.0,60.861
316180,6028200,25.0,61.348
315920,6028460,25.0,61.348
315660,6028720,25.0,60.861
315860,6028520,29.4,61.348
315696,6028684,33.3,60.374
316632,6027748,20.0,60.861
316112,6028304,21.4,61.348
316596,6027944,25.0,61.348
316420,6028120,25.0,61.348
316428,6028112,25.0,61.835
316004,6028536,20.0,61.348
316340,6028200,25.0,61.348
316200,6031300,20.0,61.348
315628,6031872,25.0,61.348
316304,6031196,29.4,60.374
315736,6031764,25.0,61.348
315820,6031680,14.3,60.861
316108,6031392,25.0,61.348
316444,6031056,20.0,61.835
316036,6031464,14.3,61.835
315524,6031976,20.0,60.861
316272,6031228,25.0,60.374
316000,6031500,25.0,60.861
315800,6031700,29.4,61.348
316844,6030656,29.4,60.861
315644,6031884,25.0,60.861
316672,6030856,25.0,62.809
316256,6031272,29.4,61.348
315968,6031560,29.4,61.348
316136,6031392,26.7,61.348
316176,6031352,25.0,61.835
316300,6031228,20.0,61.348
315816,6031848,27.8,61.835
316308,6031352,25.0,61.835
316288,6031372,25.0,62.322
316596,6031064,25.0,60.861
316352,6031308,29.4,61.835
316772,6030888,25.0,60.861
316776,6030884,25.0,60.861
316316,6031344,25.0,61.835
316144,6031516,25.0,62.809
316524,6031136,14.3,60.861
316368,6031292,20.0,61.348
316464,6031196,25.0,61.835
316592,6031068,14.3,61.348
316224,6031436,20.0,61.835
315956,6031704,33.3,61.835
316464,6031196,25.0,61.835
316244,6031416,25.0,61.835
316400,6031260,26.7,61.835
316460,6031200,23.5,61.835
317208,6030452,31.2,62.322
316292,6031368,20.0,61.348
316220,6031440,25.0,62.809
316260,6031400,25.0,62.322
315988,6031672,29.4,61.835
316412,6031252,25.0,60.861
316292,6031368,20.0,60.861
316272,6031388,14.3,60.861
316140,6031520,25.0,61.835
316572,6031088,25.0,61.835
316288,6031372,25.0,61.835
316092,6031568,25.0,62.809
316524,6031136,20.0,60.861
316176,6031484,14.3,62.322
316764,6030896,25.0,62.322
316396,6031264,20.0,61.835
316772,6030888,20.0,61.835
316896,6030764,14.3,60.374
316524,6031136,25.0,61.835
316564,6031096,25.0,61.348
316244,6031416,20.0,61.348
316184,6031476,29.4,60.861
316408,6031252,25.0,61.348
316276,6031384,33.3,62.322
316308,6031352,25.0,60.374
316444,6031216,25.0,61.835
316304,6031356,29.4,61.348
317004,6030656,25.0,62.322
315224,6032436,25.0,61.835
315560,6032100,20.0,61.835
315916,6031744,29.4,61.835
