ram_used,ram_ava,cpu,temp
485016,6006300,51.9,55.991
498804,5982364,36.0,55.504
508048,5971640,48.3,56.478
507908,5970632,40.5,55.991
508224,5970380,43.0,55.991
508108,5970496,41.0,56.478
508156,5970004,42.3,57.452
507892,5970268,41.0,56.478
507880,5970280,41.0,56.478
507712,5970380,42.3,56.478
506972,5976892,42.5,56.478
507272,5976728,42.3,56.965
507392,5976608,41.0,58.913
507376,5976624,41.6,56.965
507616,5976372,42.3,57.939
507804,5977512,41.8,57.939
507948,5977364,41.6,58.913
507944,5977364,41.8,56.965
507944,5977364,41.8,58.426
507840,5977484,41.6,57.452
507976,5977348,41.0,57.939
507964,5977360,42.3,59.4
507700,5977624,41.8,58.426
507944,5977380,43.0,57.939
507692,5977632,41.0,58.913
507840,5977484,41.6,57.939
507840,5977484,41.0,59.4
508092,5977232,42.3,59.4
507840,5977484,41.0,59.4
506952,5977484,43.0,58.426
506920,5977380,41.8,58.913
506816,5977484,41.8,59.4
507068,5977232,41.6,58.913
506816,5977484,41.8,59.887
507072,5977232,41.6,59.4
506820,5977484,42.5,58.426
506820,5977484,41.8,58.913
506924,5977380,41.8,59.887
507072,5977232,42.3,60.374
506924,5977380,41.0,59.4
506924,5977380,41.6,58.913
507696,5977632,42.5,59.4
508096,5977232,41.0,59.887
508096,5977232,42.3,58.913
508096,5977232,42.3,60.861
508096,5977232,41.8,59.887
507728,5977600,41.0,60.374
507968,5977360,42.5,59.887
507704,5977624,42.3,59.887
507940,5977384,41.0,60.374
507588,5977736,41.8,59.887
507840,5977484,42.3,59.887
507588,5977736,41.0,60.374
507708,5977616,41.8,59.887
507960,5977364,41.6,59.887
507840,5977484,41.8,59.887
508092,5977232,42.5,60.861
507840,5977484,42.3,60.374
507840,5977484,41.0,59.887
507840,5977484,41.8,60.861
507840,5977484,42.3,60.861
507832,5977484,41.3,60.374
506808,5977484,42.3,59.887
506676,5977616,41.8,61.835
507060,5977232,41.8,60.374
506808,5977484,41.6,60.374
507344,5977392,41.0,60.374
507572,5977232,41.8,60.861
506944,5977348,41.6,60.861
507184,5977108,41.8,61.348
506808,5977484,41.8,60.374
507060,5977232,41.8,61.835
506808,5977484,41.8,62.322
506808,5977484,41.0,61.348
507060,5977232,43.0,61.348
506912,5977380,41.8,60.374
507800,5977380,41.0,60.861
507936,5977380,43.0,61.835
508084,5977232,41.8,60.861
508220,5977096,41.8,62.322
508084,5977232,42.3,61.348
507936,5977380,41.0,61.348
507936,5977380,41.8,61.348
507684,5977632,40.8,60.861
508040,5977276,41.8,62.322
507580,5977736,41.0,62.322
507968,5977348,41.0,62.322
507956,5977360,42.3,61.835
507328,5977988,42.0,61.835
508840,5976476,42.5,61.835
508604,5976712,42.3,61.835
508276,5977484,41.8,61.835
507772,5977988,41.2,61.348
507328,5977988,42.3,60.861
507076,5978240,41.2,61.348
506284,5977988,42.3,60.861
506032,5978240,41.8,61.348
506284,5977988,42.0,61.348
506284,5977988,41.0,60.861
506284,5977988,42.5,61.348
506284,5977988,41.8,61.835
506284,5977988,41.8,62.322
506032,5978240,41.8,63.296
506284,5977988,41.8,62.322
506288,5977988,39.5,61.835
506032,5978240,41.6,61.835
507288,5977868,42.5,61.835
506928,5978224,42.3,61.348
506404,5978744,41.0,62.322
506416,5978728,42.5,61.835
506292,5978996,42.3,62.322
506292,5978996,41.0,61.348
507732,5980508,43.0,61.835
507748,5980492,41.8,61.835
507480,5980760,41.8,62.809
507480,5980760,41.6,61.835
507480,5980760,41.0,62.322
507340,5981412,43.0,61.835
506976,5981264,41.0,62.322
506724,5981516,41.0,61.835
506976,5981264,42.3,62.322
506976,5981264,41.8,61.348
507080,5981160,42.3,62.322
506972,5981264,41.0,61.835
506820,5981412,42.5,62.322
507068,5981160,41.8,62.809
506956,5981264,42.3,61.835
507056,5981160,41.8,62.809
506056,5981264,42.3,60.861
505800,5981516,41.8,62.809
506168,5981144,41.6,63.296
505948,5981248,42.5,62.322
506184,5981012,42.3,62.322
506036,5981160,41.8,63.296
505680,5981516,41.0,62.322
506036,5981160,41.8,62.809
505800,5981396,41.6,62.809
506200,5980996,41.0,63.296
505932,5981264,43.0,63.296
506184,5981012,41.0,62.322
506184,5981012,43.0,62.322
505932,5981264,41.0,62.809
507376,5980656,42.3,63.296
507004,5981160,42.5,62.322
507148,5981012,42.3,63.783
507148,5981012,41.0,62.809
507148,5981012,42.5,61.835
507280,5980876,41.6,62.809
507128,5981024,41.8,62.322
507372,5980772,40.8,62.809
507264,5980876,41.8,63.296
507164,5981012,41.8,62.809
507748,5980876,42.3,62.322
507808,5980888,41.0,62.809
507800,5980900,41.8,62.809
507576,5980616,42.3,62.322
507164,5981012,41.0,63.296
507412,5980760,42.3,63.783
507156,5981012,41.8,63.296
507256,5980908,41.0,63.783
507144,5981012,43.0,63.296
506236,5980908,41.8,62.322
506480,5980668,41.0,63.783
506220,5980932,43.8,63.783
507988,5979168,41.6,63.296
507776,5979396,41.0,62.809
507900,5979248,41.0,61.835
507156,5979988,42.5,63.296
507140,5980000,41.8,63.296
507136,5980000,41.8,63.296
506880,5980252,42.3,62.322
506884,5980256,40.5,63.783
507728,5980300,41.8,63.296
507908,5980256,41.2,63.783
507908,5980256,41.8,63.296
507656,5980508,43.2,62.809
507656,5980508,41.8,62.809
507608,5980996,41.6,64.27
507604,5980996,42.5,63.296
507956,5980640,41.0,62.809
507312,5980996,43.0,63.783
507416,5980760,41.0,63.296
507164,5981012,41.8,63.783
507268,5980908,41.8,63.296
507416,5980760,43.0,64.757
507164,5981012,41.8,64.27
507416,5980760,41.0,64.757
507168,5981012,42.3,63.783
507272,5980908,42.5,63.296
507268,5980908,41.8,64.757
506988,5981188,42.3,64.27
507424,5980744,42.5,63.296
507260,5980908,41.8,63.783
507412,5980760,41.0,63.783
506388,5980760,42.3,64.757
506388,5980760,41.8,63.296
506492,5980656,41.8,63.783
506380,5980760,42.3,63.296
506380,5980760,41.0,63.783
506380,5980760,42.3,64.757
506380,5980760,41.0,63.783
506380,5980760,40.3,63.296
506228,5980908,43.0,63.783
506888,5980760,41.0,64.27
506376,5980760,42.3,64.27
506480,5980656,41.8,64.27
506372,5980760,41.8,62.809
506628,5980508,42.3,63.783
507404,5980760,41.8,64.27
507404,5980760,41.6,64.27
507656,5980508,42.5,64.757
507656,5980508,41.0,63.783
507404,5980760,42.5,64.27
507404,5980760,41.6,63.296
507508,5980656,41.8,63.783
507508,5980656,41.8,63.783
507656,5980508,41.6,63.783
507756,5980404,41.8,64.27
507652,5980508,41.8,64.757
507756,5980404,41.6,64.27
507396,5980760,41.8,64.27
507752,5980404,43.0,63.783
507648,5980508,41.8,64.27
507648,5980508,41.6,64.27
507648,5980508,41.0,63.783
507648,5980508,41.8,64.27
507648,5980508,42.3,65.244
506624,5980508,41.0,65.244
507068,5980508,42.3,63.783
506728,5980404,42.5,64.27
506624,5980508,41.0,63.296
506876,5980256,41.6,64.27
506616,5980508,42.5,65.244
506720,5980404,41.8,64.27
506612,5980508,41.0,64.27
506368,5980760,41.8,64.757
506872,5980256,42.3,65.244
506620,5980508,41.8,64.27
507896,5980120,41.8,64.27
507632,5980384,41.0,65.731
507620,5980396,42.3,64.27
507608,5980408,41.8,65.244
507660,5980492,40.3,64.27
507896,5980256,41.8,65.731
507896,5980256,41.6,64.27
508000,5980152,41.8,65.731
