ram_used,ram_ava,cpu,temp
484444,6010772,22.6,53.556
499356,5982596,40.0,54.53
505812,5973916,62.5,55.504
504192,5974924,58.5,55.991
505952,5973160,61.2,55.991
506216,5972892,57.1,55.504
506044,5973040,59.4,55.991
505304,5973780,60.9,55.504
505288,5973796,59.1,55.991
505028,5973544,60.9,56.965
505280,5973292,60.0,56.478
505028,5973544,60.9,57.452
505280,5973292,59.7,57.452
505232,5979704,60.9,58.426
505368,5979568,60.3,57.939
505520,5979416,60.3,57.939
503744,5981192,60.3,57.452
505384,5979552,59.7,57.939
506156,5978780,61.9,57.939
506088,5978920,59.7,58.426
507424,5978920,60.9,58.426
507424,5978920,60.3,58.426
507172,5979172,59.7,57.452
506164,5980180,59.7,58.913
506268,5980076,60.3,58.426
504384,5980936,60.6,58.913
504636,5980684,61.5,57.939
504172,5981084,60.6,58.426
504320,5980936,58.1,59.887
504572,5980684,61.9,59.887
504572,5980684,60.9,59.4
504572,5980684,60.3,59.887
503196,5982060,60.3,59.887
502680,5982576,60.0,59.4
502920,5982336,60.3,60.374
502656,5982600,59.7,60.374
504672,5980584,60.0,61.348
504424,5980832,60.3,59.887
505452,5980684,60.0,60.861
505548,5980580,61.5,60.374
505584,5980684,61.5,60.374
505684,5980580,60.3,60.374
505572,5980684,60.3,59.887
504052,5982196,60.3,60.374
505576,5980684,59.4,60.861
505324,5980936,61.5,60.374
506584,5979676,60.9,60.861
506436,5979824,60.3,61.835
505148,5981108,59.7,61.348
503756,5982480,60.0,59.887
503836,5982376,61.5,60.861
504020,5982192,60.9,60.861
503928,5982268,59.7,61.348
503784,5982416,61.2,61.835
505040,5981156,59.4,60.861
505044,5981156,60.3,61.835
505300,5980904,60.0,61.348
505436,5980752,59.7,60.861
505420,5979760,60.9,61.348
505420,5979760,60.3,61.348
504680,5980500,60.9,61.348
504664,5980516,60.6,60.861
504532,5980648,60.9,61.348
504916,5980260,58.2,61.835
504796,5980376,61.2,62.322
505032,5980136,60.3,61.835
504764,5980400,59.7,61.348
505532,5979628,59.4,63.296
504524,5980648,60.3,62.322
504420,5980752,60.9,62.322
504404,5980768,60.0,61.835
504152,5981020,60.9,62.322
503644,5981524,58.5,62.809
504404,5980768,60.3,61.835
504152,5981020,60.9,62.322
504420,5980768,60.3,62.322
505192,5981020,58.7,63.296
505464,5980768,60.6,62.809
505212,5981020,60.3,61.835
506488,5979744,61.5,61.348
506488,5979744,59.4,62.809
506724,5979508,62.1,63.296
506476,5979760,61.5,61.835
506476,5979760,60.3,62.809
506596,5979640,61.5,62.322
505340,5980900,60.9,61.835
505976,5980264,60.3,61.835
507480,5978752,60.3,62.809
507228,5979004,59.7,63.296
506216,5980012,60.0,62.322
507724,5978500,60.6,63.783
507228,5979004,60.9,61.835
506708,5978500,60.9,63.783
505968,5979240,60.3,63.296
505956,5979256,59.7,63.783
505960,5979256,61.5,65.244
505712,5979508,61.5,63.296
505968,5979256,61.5,62.809
505720,5979508,59.7,62.809
506204,5979004,60.9,62.809
505948,5979256,60.7,62.809
506732,5978484,60.9,63.296
506476,5978736,60.0,64.27
505968,5979240,61.3,63.783
505712,5979492,60.3,63.296
505204,5979996,59.7,63.783
506216,5979004,60.3,63.296
505692,5980412,58.7,62.809
505584,5980664,60.0,64.757
503820,5982428,59.7,64.27
503572,5982680,60.0,63.783
503468,5982784,60.9,62.809
503468,5982784,60.0,64.27
503608,5982648,59.4,63.783
503852,5982408,60.9,63.296
503588,5982672,60.9,64.27
503828,5982432,61.3,63.783
503564,5982696,61.5,64.27
503468,5982784,60.0,64.27
505232,5981020,61.5,64.27
504724,5981524,59.4,65.244
504476,5981776,61.5,64.27
504220,5982028,60.0,64.27
504580,5981672,60.9,64.757
504980,5981272,60.9,64.757
504732,5980632,60.6,63.783
504716,5980644,59.4,63.783
504712,5980644,60.9,65.244
504696,5980656,61.5,64.757
504932,5980416,59.4,65.244
504676,5980668,59.0,65.244
504464,5980768,60.0,64.27
504464,5980768,60.9,64.27
504464,5980768,60.0,63.783
505220,5980012,60.9,64.27
506732,5978500,60.6,64.27
506984,5978248,61.5,64.757
506580,5978648,60.7,63.783
505304,5983768,60.0,64.27
503684,5985384,60.3,65.244
503184,5985876,61.5,64.757
503476,5985728,60.9,64.27
503608,5985592,60.3,65.244
503144,5986060,60.9,64.757
502636,5986564,56.9,65.244
502380,5986816,60.0,65.244
502640,5986564,62.5,64.27
502492,5986712,60.3,65.244
502640,5986564,59.4,63.296
502640,5986564,61.5,64.757
502388,5986816,59.4,64.757
502640,5986564,60.7,64.27
502388,5986816,59.4,65.244
502640,5986564,59.7,64.27
502640,5986564,60.3,66.218
504656,5984548,61.9,65.244
504400,5984800,60.3,65.244
504752,5984444,61.5,64.757
504764,5983540,59.4,64.757
502996,5985304,62.7,65.244
502992,5985304,60.3,65.244
503240,5985052,60.9,65.244
502868,5985304,59.7,64.757
504628,5983540,59.4,65.244
505152,5983020,60.3,65.244
505404,5982768,60.9,65.731
503648,5984532,58.7,65.731
503648,5984532,60.9,65.244
503644,5984532,60.9,64.757
503796,5984444,60.9,65.244
503944,5984296,61.3,66.218
503944,5984296,60.3,65.731
503692,5984548,60.3,66.218
503944,5984296,60.0,66.218
503692,5984548,61.3,65.244
502684,5985556,58.0,64.27
503572,5985556,60.9,65.244
503720,5985556,59.4,64.757
502460,5986816,60.0,65.731
502208,5987068,59.4,65.244
502460,5986816,59.4,65.244
502788,5986476,61.5,66.218
502672,5986576,60.3,65.731
504684,5984560,60.6,66.218
503012,5986236,60.3,65.731
502732,5986500,60.0,66.218
502868,5986348,63.1,65.731
502952,5986260,59.4,65.731
502832,5986360,60.3,65.731
503080,5986108,59.7,65.244
504588,5984596,61.3,66.705
504704,5983588,60.0,66.218
502936,5985352,60.3,66.218
503036,5985248,60.9,66.218
502572,5985604,60.3,65.731
504332,5983840,59.4,66.218
503928,5984240,60.9,66.705
504348,5983840,59.4,66.218
504960,5983232,60.0,66.218
505608,5982580,60.9,65.244
505488,5982696,60.6,66.218
505464,5982708,60.9,65.244
505448,5982720,60.9,66.705
505432,5982732,61.9,65.731
505668,5982492,60.3,66.218
505348,5982832,60.7,65.731
505348,5982832,60.9,65.731
504964,5984240,60.9,65.731
504712,5984492,59.7,66.218
505112,5984092,61.5,65.731
503700,5985500,58.7,67.192
503336,5985856,58.1,66.705
502944,5986256,60.3,66.218
503084,5986108,60.3,66.705
502928,5986256,60.0,67.192
503068,5986108,59.1,66.218
503168,5986004,60.0,67.679
502552,5986612,61.5,66.218
502720,5986508,60.9,66.218
502928,5986304,60.9,66.705
502592,5986640,59.4,65.731
502588,5986640,60.6,66.705
502844,5986388,59.7,66.218
502592,5986640,60.9,66.705
502680,5985528,60.6,67.192
502576,5985632,59.4,67.192
504340,5983868,60.0,67.192
504604,5983616,61.5,66.218
504856,5983364,60.0,66.705
504464,5983764,60.0,67.192
504340,5983868,60.3,66.705
504096,5984120,59.4,66.218
503336,5984876,58.7,66.218
504948,5983260,61.5,66.705
503328,5984876,60.0,66.705
503324,5984876,60.9,66.705
503320,5984876,59.4,67.192
502844,5985380,60.3,67.192
503616,5985632,60.9,67.679
504120,5985128,60.9,66.705
503868,5985380,60.3,66.705
503108,5986136,58.8,66.705
503112,5986136,60.0,67.679
503108,5986136,60.0,66.705
502612,5986640,60.3,67.679
502860,5986388,59.4,67.679
502856,5986388,60.0,67.192
502960,5986284,58.7,67.679
502872,5986388,61.5,67.192
502944,5986300,60.3,67.679
502664,5986564,58.7,66.218
502548,5986664,61.5,67.192
502548,5986664,60.3,67.192
504312,5984900,60.9,66.705
504648,5984560,60.0,66.705
504796,5984408,60.0,67.192
504392,5984808,59.7,67.679
502868,5985312,60.3,67.192
502512,5985668,60.3,66.705
502528,5985668,60.9,67.192
504792,5983400,60.6,67.192
503032,5985164,61.5,67.679
502928,5985280,59.7,67.192
502912,5985292,60.3,67.192
502896,5985304,60.3,68.166
502628,5985568,59.7,67.192
503028,5985164,60.0,67.192
502656,5985532,61.3,67.679
503044,5985164,58.0,67.679
503144,5985060,59.4,67.679
503032,5985164,60.9,68.166
502912,5985312,60.0,68.166
503156,5985060,60.9,67.679
502904,5985312,60.6,67.192
502792,5985416,61.5,68.166
502772,5986320,58.6,68.653
502808,5986424,60.3,67.192
502904,5986320,60.6,68.166
502792,5986424,60.0,68.653
502792,5986424,60.6,67.192
502908,5986320,60.6,66.705
503056,5986172,60.0,68.166
503056,5986172,60.7,67.679
502804,5986424,57.5,67.192
502804,5986424,60.3,66.705
502804,5986424,60.3,68.166
503144,5986084,59.4,67.192
502776,5986436,60.9,67.192
503048,5986184,61.5,68.166
504912,5984316,60.0,68.166
504632,5983576,60.9,67.192
505356,5982832,60.0,68.166
503480,5984696,60.9,67.192
502600,5979664,64.6,67.192
503084,5979156,59.4,68.166
502924,5979320,60.0,67.192
502836,5979424,60.3,68.166
503088,5979172,61.5,67.679
502836,5979424,58.7,67.679
502580,5979676,60.0,67.192
502828,5979424,58.1,68.166
502572,5979676,59.1,68.653
502616,5979676,60.9,67.192
502616,5979676,61.5,68.166
502868,5979424,58.0,68.653
502624,5984108,58.5,67.679
502520,5983708,61.5,67.679
502284,5983944,60.0,67.679
503272,5982952,56.9,69.14
503376,5982848,59.4,68.166
503004,5983204,60.9,68.653
503128,5983068,60.0,67.679
503112,5983080,60.3,67.192
503096,5983092,60.0,67.679
502828,5983356,60.3,67.679
503080,5983100,60.0,67.679
502812,5983364,60.0,67.679
502484,5983692,58.0,68.166
502728,5983440,60.3,68.166
503060,5983100,58.5,68.166
503216,5982952,61.5,67.679
503316,5982848,59.4,68.166
