ram_used,ram_ava,cpu,temp
483332,6020464,34.1,55.504
487652,6005036,40.4,55.017
488400,6001388,66.0,55.017
489380,6000112,61.8,55.504
489720,5999772,51.7,55.017
489076,5999372,52.0,55.017
488720,5999624,50.0,56.478
488840,5999120,50.0,56.478
488720,5999236,46.2,55.017
489216,5998732,51.9,55.991
488208,5999740,52.0,56.478
489964,5997976,50.0,55.991
490804,5997088,52.0,56.478
490540,5997352,50.0,57.452
490928,5996964,51.9,55.991
490608,5997252,52.0,56.965
490752,5997104,52.0,55.504
490756,5997104,55.6,57.939
489128,5998732,50.0,56.965
489124,5998732,52.0,56.965
489240,5998616,52.0,56.965
489112,5998732,52.0,56.965
488988,5998852,53.8,55.991
489044,5998820,51.9,57.452
489496,5998364,53.8,56.965
489384,5998480,53.8,56.478
489328,5998536,52.0,56.965
488812,5999052,50.0,57.452
488812,5999052,50.0,56.965
488236,5999624,48.3,57.939
489992,5997860,53.8,56.965
489612,5998264,53.6,57.452
488760,5999116,53.6,56.965
489280,5998596,51.9,57.452
488960,6006300,53.3,57.452
488692,6006564,50.0,57.452
488680,6006576,52.0,57.452
488912,6006336,53.8,56.965
488792,6006452,51.9,57.452
488924,6006316,53.8,56.965
488108,6007128,44.4,58.913
488252,6006980,53.8,57.939
486872,6008356,52.0,57.939
486604,6008620,51.9,57.939
486856,6008380,48.0,56.965
486468,6008744,52.0,58.913
486524,6008744,53.6,58.426
487788,6007484,51.9,57.452
489252,6006224,53.8,58.913
489136,6006340,53.8,57.939
488628,6006856,48.0,57.939
488508,6006980,53.8,58.426
488508,6006980,50.0,57.939
489516,6005972,50.0,57.939
489524,6005972,48.0,58.913
489304,6006192,53.6,57.452
488800,6006708,50.0,57.452
488772,6006740,52.0,57.939
488908,6006608,51.9,58.913
488896,6006620,53.8,57.452
488700,6006752,51.9,57.452
488448,6007004,50.0,58.426
488700,6006752,52.0,58.426
488732,6006720,50.0,57.452
488764,6006688,52.0,58.426
488752,6006700,53.8,57.939
488952,6006500,52.0,58.426
490456,6004996,52.0,58.913
489496,6005972,51.9,58.913
488944,6006524,51.9,59.887
489952,6005516,48.0,59.4
490724,6004744,48.1,58.913
490204,6005264,50.0,57.939
491464,6004004,51.7,58.913
492236,6003232,51.9,58.426
490428,6005012,50.0,58.426
490488,6005012,50.0,59.4
491600,6003900,50.0,59.4
490344,6005156,52.0,58.913
489072,6006428,52.0,58.913
488616,6006888,48.0,58.426
488604,6006900,46.2,58.426
488612,6006900,48.1,58.913
488348,6007164,67.3,58.426
487860,6007652,46.4,59.4
487840,6007680,50.0,60.374
487580,6007944,53.8,59.4
487568,6007956,50.0,59.887
487308,6008220,50.0,59.4
489332,6006204,53.8,58.426
489364,6006136,50.0,58.913
489252,6006252,52.0,58.913
489500,6006012,53.8,59.4
489384,6006128,52.0,59.4
489632,6005888,51.9,58.913
487856,6007664,48.0,59.887
489376,6006152,53.8,58.426
489660,6005868,53.8,60.861
489268,6006272,48.1,60.374
490504,6005012,52.0,59.4
489988,6005528,51.9,58.426
489880,6005644,50.0,60.374
489368,6006160,52.0,59.887
489608,6005920,53.8,58.913
487976,6007544,50.0,59.887
489460,6006032,50.0,58.913
489596,6005896,48.0,59.4
489496,6006000,52.0,59.4
489740,6005760,48.0,60.374
488460,6007040,48.1,58.913
489952,6005528,46.2,59.887
490972,6004520,48.1,60.374
491244,6004252,48.1,59.887
491248,6004252,48.1,59.887
491284,6004220,50.0,59.887
491744,6003748,48.0,60.374
