ram_used,ram_ava,cpu,temp
484292,6008840,50.0,54.53
490288,5991736,35.1,55.017
491092,5989156,53.8,54.53
490908,5988896,42.4,55.017
490512,5989264,44.8,54.53
490500,5989276,37.0,55.504
489700,5990024,37.9,54.043
489744,5989536,40.7,55.017
490248,5989032,39.3,55.017
490028,5989252,40.7,55.504
489440,5989264,40.7,56.478
489220,5989484,39.3,55.504
488956,5989748,38.5,56.478
488916,5989788,42.9,55.017
489052,5989652,41.4,55.504
488788,5989916,38.5,55.991
488672,5990032,38.5,55.017
488808,5989896,39.3,55.991
489020,5989684,42.9,54.53
488876,5988940,40.7,55.017
488792,5988928,38.5,55.504
488620,5989032,41.4,55.991
488504,5989148,40.7,55.991
488892,5988760,42.9,56.965
490360,5987268,39.3,55.504
490244,5987384,39.3,56.478
490396,5987248,40.7,56.478
490252,5987384,41.4,56.478
490640,5986996,38.5,55.991
490376,5987260,41.4,55.504
490512,5987124,38.5,55.991
490396,5987240,40.7,56.965
490636,5987000,39.3,56.965
490756,5986880,40.7,56.478
490892,5986744,39.3,56.965
490384,5987268,42.9,56.478
490276,5987384,38.5,56.478
490500,5987164,39.3,56.478
490992,5993776,42.9,55.991
491152,5993764,39.3,56.478
491052,5993868,42.9,55.991
491192,5993732,40.7,56.965
490928,5993996,39.3,56.478
490924,5994008,40.7,55.504
491208,5993724,39.3,55.017
491204,5993736,40.7,56.478
491092,5993852,39.3,55.504
491080,5993868,40.7,55.991
491220,5993732,39.3,55.991
490760,5994120,42.9,56.478
490892,5993984,37.0,56.965
491036,5993848,42.9,56.478
491024,5993860,39.3,56.965
490812,5994080,38.5,58.426
490880,5994016,41.4,56.965
490776,5994120,40.7,55.504
490912,5993984,39.3,56.478
490900,5993996,40.7,55.991
490904,5994008,39.3,56.965
490560,5994356,42.9,56.478
490592,5994324,37.0,57.939
490876,5994040,40.7,56.965
490672,5994268,40.7,57.452
490928,5994028,39.3,56.965
490864,5994088,38.5,57.452
491156,5993804,37.0,56.478
491096,5993868,40.7,55.504
490980,5993984,40.7,56.965
490968,5993996,39.3,57.452
490716,5994260,38.5,57.452
491252,5993724,41.4,57.452
491144,5993840,38.5,57.939
491224,5993764,39.3,58.426
491124,5993868,39.3,57.452
491260,5993732,38.5,57.452
490752,5994248,39.3,56.965
490740,5994260,40.7,56.965
491044,5993976,37.0,56.965
490816,5994120,42.9,57.939
490952,5993984,42.9,56.965
490688,5994248,34.6,57.452
490840,5994112,42.9,56.478
490980,5993976,39.3,56.965
491196,5993764,36.0,57.452
491092,5993868,41.4,57.452
490984,5993984,38.5,57.452
490976,5993996,39.3,57.452
490716,5994260,40.7,57.939
491252,5993724,39.3,57.452
490996,5993988,42.9,57.452
491220,5993764,39.3,57.939
490956,5994028,39.3,57.452
491252,5993744,37.0,57.939
490952,5993984,42.9,57.452
491388,5993556,39.3,56.965
491124,5993820,38.5,57.452
490736,5994232,39.3,57.939
490928,5994052,38.5,57.939
490860,5994120,41.4,57.939
490996,5993984,38.5,57.939
490996,5993996,39.3,57.939
490984,5994008,40.7,58.426
491024,5993976,41.4,57.939
490420,5994580,38.5,58.913
490080,5994872,39.3,57.939
490364,5994588,41.4,57.452
490100,5994852,38.5,57.939
490612,5994340,41.4,58.426
490348,5994604,42.9,57.452
490448,5994504,39.3,57.452
490336,5994624,42.9,57.452
490368,5994592,41.4,57.452
490440,5994520,40.7,56.478
490188,5994784,39.3,56.965
490472,5994500,40.7,57.452
490460,5994512,39.3,57.452
490744,5994228,40.7,57.939
490480,5994492,40.7,56.478
490616,5994356,39.3,58.913
490600,5994372,40.7,58.913
490764,5994236,37.0,57.939
490324,5994624,40.7,57.939
490464,5994488,39.3,58.426
490456,5994500,40.7,57.452
