ram_used,ram_ava,cpu,temp
480924,6337924,13.0,52.582
487984,6246008,11.2,52.582
488728,6241296,70.4,54.53
489924,6239532,59.1,54.043
490736,6238272,61.1,54.53
491636,6237264,58.3,55.017
492188,6236268,58.3,55.504
490668,6237780,59.5,54.53
489872,6238520,61.1,55.991
490112,6238280,61.1,55.504
490688,6237708,62.9,55.991
489920,6238476,61.1,56.478
489912,6238492,62.2,56.478
490152,6238252,62.2,55.504
488600,6239816,61.1,56.965
490148,6238304,60.5,56.478
492020,6236436,59.5,56.478
492008,6236448,55.6,55.504
490656,6237800,61.1,55.991
490656,6237800,60.5,57.452
491532,6236924,58.3,56.478
491044,6237412,59.5,56.478
491664,6236776,60.5,57.939
491652,6236788,62.9,56.965
491016,6236536,59.5,56.478
490912,6236536,62.2,56.965
490236,6237192,62.2,57.939
490112,6237296,60.0,56.478
490504,6236908,62.2,56.965
492088,6237100,60.0,56.478
490428,6238820,59.5,57.452
490428,6238820,60.0,58.426
491688,6237560,62.2,56.965
491540,6237708,60.5,57.452
491528,6237708,59.5,58.426
491432,6237812,62.2,58.426
492688,6236552,58.8,57.939
491176,6238064,60.5,58.426
491176,6238064,60.0,58.426
490676,6238568,61.1,57.939
491700,6237544,60.0,58.426
490960,6238284,62.2,58.913
491716,6237528,62.2,58.426
492740,6236504,62.9,57.939
492104,6237140,59.5,57.939
491000,6238272,60.0,57.939
491928,6237312,64.9,58.913
492036,6237208,61.1,59.4
490660,6238572,60.0,58.913
489920,6239312,62.2,58.913
489136,6240084,63.2,58.913
491032,6239224,61.1,60.374
490768,6239488,60.0,58.913
490772,6239488,62.2,58.913
490876,6239384,60.0,58.913
490768,6239488,61.1,59.4
490676,6239580,61.1,58.913
489888,6239476,61.1,59.4
489780,6239580,61.1,59.887
490520,6238824,60.0,59.887
492160,6237060,60.5,59.887
490532,6238688,60.0,58.913
490288,6238940,62.2,59.4
492052,6237176,60.0,59.887
491408,6237800,61.1,59.4
491700,6237516,63.9,60.861
491968,6237252,62.2,59.4
491076,6238152,61.1,60.374
489552,6239676,59.5,60.374
488876,6240336,59.5,59.887
490636,6238572,62.2,58.913
490520,6238688,58.3,60.374
490144,6239072,61.1,60.374
490028,6239188,59.5,59.4
490256,6238952,61.1,59.4
490140,6239068,60.0,59.4
490276,6238932,56.8,60.374
490024,6239196,59.1,59.887
490396,6238824,59.5,60.861
490912,6238304,60.5,59.4
490400,6238824,61.1,60.861
490900,6238304,62.2,60.374
491136,6238068,62.2,60.861
491156,6238936,61.1,59.887
490636,6239592,61.1,60.861
490888,6239340,58.8,60.374
490124,6240096,61.1,60.374
490972,6239236,59.5,60.861
490708,6239500,61.1,60.374
489428,6240772,62.2,60.374
490704,6239496,61.1,60.861
491240,6238064,56.8,61.348
491348,6237828,58.3,61.835
490980,6238196,62.2,60.861
489196,6239972,61.1,60.861
489432,6239732,64.1,61.348
490456,6238708,57.1,60.861
489684,6239472,62.2,59.887
490336,6238836,59.5,60.861
490616,6238552,58.3,60.861
490644,6238520,60.5,61.348
490644,6238520,57.1,61.835
490892,6238272,60.5,61.835
489440,6239724,62.2,61.835
490208,6238952,61.1,61.835
489824,6239336,59.5,59.887
489456,6239704,61.1,59.887
490728,6238444,62.2,61.348
491712,6237456,60.0,62.322
491192,6237972,59.5,60.861
490200,6238968,60.0,61.348
489936,6239232,62.2,61.348
490056,6239112,60.0,61.835
489788,6239376,62.2,60.861
489804,6239340,62.2,61.348
489936,6239204,61.1,61.348
490328,6239844,60.0,62.809
491836,6238332,63.2,61.835
491596,6238584,59.5,62.322
490856,6239324,62.2,61.835
490588,6239588,60.0,61.348
490112,6240060,59.5,62.322
489568,6240600,60.0,62.322
490592,6239576,58.3,61.835
490224,6239056,60.5,62.322
489568,6239592,62.2,61.348
490088,6239072,56.8,62.809
490068,6239084,61.1,62.322
490584,6238568,61.1,61.835
491608,6237544,58.3,61.835
492380,6236772,58.3,61.835
491388,6237764,60.0,62.322
492412,6236740,58.3,61.835
492712,6236432,58.3,62.322
492996,6236148,59.5,61.835
492584,6236552,60.0,61.348
491592,6237560,59.5,62.809
