ram_used,ram_ava,cpu,temp
476016,6613764,8.7,46.251
479640,6515092,7.3,46.251
482400,6508700,33.8,46.738
481380,6507540,27.9,46.251
483092,6505684,28.6,46.251
483052,6505708,26.2,45.764
482752,6505988,27.4,46.738
483000,6505716,26.2,46.251
482832,6504992,29.0,46.251
482788,6505016,26.2,47.712
483176,6504492,27.4,46.251
483084,6504560,27.9,46.251
483212,6503880,27.4,47.712
483060,6504028,27.4,47.225
482920,6504132,26.7,48.199
484896,6504520,28.6,47.712
484528,6504888,27.9,47.712
485008,6504280,27.4,47.712
484900,6504384,27.4,47.712
485000,6504280,28.6,48.686
484908,6504368,29.0,47.712
484944,6504332,26.2,47.712
483848,6507184,29.0,47.712
484080,6506932,26.2,48.199
484120,6506888,27.4,48.686
483408,6507456,27.4,48.199
484224,6506716,26.7,48.199
484424,6506616,27.4,48.686
484404,6506632,26.2,49.66
484376,6506660,27.4,48.199
484564,6506468,27.9,48.686
484648,6506380,27.4,48.686
484368,6506656,26.2,47.712
484112,6506768,28.6,48.686
484648,6506232,26.2,49.173
484340,6506540,27.9,48.686
484672,6506208,27.4,49.66
484556,6506324,27.4,48.686
484544,6506336,28.6,48.686
484684,6506348,27.4,48.686
484556,6506244,26.7,48.199
483664,6506112,28.6,48.199
483664,6506112,26.7,49.66
483412,6506364,26.2,49.173
483784,6505992,27.4,49.173
483680,6506096,27.9,49.173
484020,6505756,27.4,49.173
484040,6505608,26.2,49.66
484144,6505504,27.4,49.66
483780,6505868,26.7,49.66
484092,6505536,26.2,49.66
484004,6505604,29.0,48.199
483668,6505916,27.9,49.66
483748,6505836,28.6,49.66
485340,6505332,26.2,49.173
485208,6505332,28.6,48.686
485204,6505332,29.0,49.66
484828,6505704,27.4,50.147
485452,6505080,26.2,49.66
485072,6505452,27.9,49.173
485428,6505096,26.2,49.66
484808,6505712,26.2,50.147
484952,6505424,27.4,49.173
485456,6504900,26.7,49.66
485420,6504916,28.6,50.147
485124,6505192,27.4,48.199
485012,6505304,27.9,49.173
485072,6505304,28.6,49.66
485616,6504756,27.4,49.173
485424,6504816,27.9,48.686
485276,6504964,26.2,50.147
485420,6504816,27.4,49.173
485268,6504964,26.7,48.686
485412,6504816,27.4,49.66
485388,6504840,28.6,50.634
484596,6504588,26.7,50.147
484204,6504848,27.4,50.634
484604,6504516,26.2,51.121
484588,6504516,27.9,49.66
485056,6504044,27.4,50.634
484772,6504308,28.1,50.147
484400,6504660,25.0,50.147
484744,6504392,29.7,50.634
484724,6504408,25.8,50.634
484844,6504156,27.4,50.634
484868,6504156,27.0,50.634
484380,6504644,26.2,50.147
484880,6504140,26.2,49.66
484912,6504104,28.6,49.66
484936,6504060,28.6,51.121
484916,6504076,27.4,50.147
484628,6504200,28.6,50.634
484880,6503948,26.2,49.66
485740,6503972,29.0,49.66
485948,6503892,28.6,51.121
486248,6503656,27.4,50.147
485888,6504012,27.4,50.634
486492,6503404,26.7,50.147
485992,6503760,26.2,49.66
485756,6503996,28.6,50.634
485752,6503996,25.8,51.608
486104,6503640,27.9,50.634
484928,6504812,30.2,51.121
484260,6505464,26.2,50.147
483988,6505732,27.9,50.634
483380,6506336,26.2,51.608
484480,6505100,27.9,51.121
484360,6505216,27.4,51.121
484716,6503968,26.7,50.634
484448,6504232,27.9,51.121
484832,6503844,28.6,51.121
484540,6504012,27.9,51.608
484540,6504012,27.9,51.121
484308,6504116,28.6,51.121
484412,6504012,27.9,50.634
484076,6504352,27.4,51.608
484596,6503848,27.9,51.121
484416,6503996,27.4,51.121
485716,6505504,27.9,51.121
485372,6505992,27.4,50.634
485972,6505384,27.9,51.608
485768,6505452,26.2,50.634
485668,6505528,27.9,50.634
485660,6505528,27.4,51.608
485808,6505396,27.9,50.634
485404,6506820,27.9,50.634
485296,6506924,30.2,51.121
485416,6506820,28.6,51.121
485432,6506672,26.7,51.121
485532,6506568,26.7,51.608
485276,6506820,27.4,51.121
484908,6507184,26.7,51.608
485440,6506648,27.4,51.608
485492,6506592,29.0,51.608
485476,6506604,25.0,52.582
485608,6506340,29.0,52.095
485340,6506604,27.9,51.121
485480,6506452,28.6,51.608
485460,6506468,26.7,51.121
485312,6506616,27.4,51.121
485456,6506468,27.9,51.608
483940,6506956,26.7,50.634
484760,6506212,27.4,50.634
484868,6505976,27.9,51.121
484952,6505888,27.4,51.608
484952,6505884,25.4,52.095
484592,6506240,27.9,51.121
484588,6506240,27.4,51.608
484896,6505928,27.9,51.608
484828,6505988,26.2,52.095
484464,6506248,27.9,51.608
484696,6505996,26.2,51.608
485004,6505700,27.9,51.121
484940,6505760,27.4,51.608
484792,6505908,26.7,51.121
484432,6506264,27.9,52.095
484756,6505936,26.2,52.095
485648,6505924,27.9,51.121
485768,6505668,27.4,52.095
486056,6505520,27.9,52.095
485560,6506008,26.7,52.095
486144,6505416,29.7,51.608
486148,6505416,27.9,51.608
485876,6505692,26.2,50.634
485772,6505780,27.9,52.095
485912,6505528,27.4,52.095
486004,6505440,27.9,51.608
486152,6505292,27.9,51.121
485768,6505676,26.2,51.608
486140,6505276,27.9,52.582
485860,6505552,27.4,51.608
486104,6505300,26.7,51.121
485716,6505552,27.4,52.095
485960,6505300,26.7,53.069
484816,6505552,27.9,51.608
484644,6505716,27.4,52.095
484252,6505992,27.9,51.121
483980,6506244,27.4,53.069
484248,6505992,27.9,53.069
484012,6506096,27.4,52.095
484356,6505844,27.9,52.095
484356,6505844,27.4,52.095
484356,6505844,29.0,52.095
484440,6505756,27.9,52.582
484336,6505856,27.4,53.069
484080,6506108,27.9,52.582
484304,6505752,27.4,52.582
484444,6505604,27.9,52.582
484460,6505604,26.2,51.608
484204,6505864,27.9,52.095
485212,6505864,27.9,53.556
485584,6505508,28.6,53.069
485716,6505376,27.9,52.582
485572,6505524,28.6,52.095
485340,6505628,26.7,52.095
485668,6505272,27.4,51.608
485384,6505548,27.9,52.582
485632,6505296,27.9,53.069
485268,6505652,27.9,52.582
485868,6505044,26.2,53.556
485504,6505400,27.9,53.069
485744,6505044,27.4,52.095
485468,6505320,29.0,51.608
485704,6505068,26.7,52.095
485616,6505172,28.6,53.556
485976,6504816,25.4,52.095
485620,6505172,27.9,52.095
484596,6505172,28.6,52.095
484436,6505304,27.9,52.582
484492,6505120,27.4,54.043
484768,6504840,26.7,52.095
484660,6504944,28.6,53.069
484656,6504944,26.7,51.608
484760,6504840,27.4,52.095
484900,6504692,28.6,52.582
484640,6504952,27.9,54.043
484872,6504700,26.7,53.069
485228,6504344,28.6,53.069
485208,6504360,27.9,51.608
484972,6504596,27.4,52.582
484868,6504700,27.9,53.069
485084,6504464,29.0,52.095
485900,6504536,26.2,53.069
485956,6504488,27.9,54.043
485956,6504488,27.9,52.095
485808,6504636,26.2,52.582
485952,6504488,26.7,53.069
485696,6504740,27.4,52.582
485436,6505000,27.9,52.582
485920,6504496,27.9,52.095
486100,6504200,26.2,53.556
485888,6504408,26.7,52.095
486140,6504156,27.4,52.582
485780,6504512,29.0,53.069
486132,6504156,26.2,52.095
486104,6504180,27.9,52.095
486104,6504180,26.7,52.095
485996,6504284,27.4,52.582
486220,6503928,26.7,53.069
485860,6504284,26.2,52.582
485192,6503928,30.2,53.069
483828,6505292,26.7,53.069
484336,6504788,25.8,51.608
483828,6505300,28.6,53.069
484116,6505016,27.4,53.069
484428,6504708,27.9,52.095
484080,6505060,27.4,53.069
484200,6504808,27.4,52.095
484300,6504704,27.9,53.069
484296,6504704,27.4,52.582
484532,6504468,28.6,53.069
484252,6504744,26.7,53.556
484676,6504256,26.2,52.582
484560,6504356,28.6,52.095
484520,6505284,26.2,53.069
485012,6504776,27.9,52.582
484824,6505144,26.2,53.069
484572,6505396,27.4,52.582
484676,6505292,28.6,52.095
484948,6504892,27.4,53.556
484784,6505044,27.4,51.608
484780,6505044,26.7,51.608
485000,6504820,27.4,52.095
485268,6504548,28.6,52.582
484872,6504928,26.7,52.582
484852,6504928,27.4,53.069
485396,6504360,26.2,51.608
485208,6504464,28.6,53.556
485056,6504612,29.0,52.582
485448,6504212,27.4,53.556
485292,6504360,27.4,52.582
485180,6504464,27.9,52.095
485276,6504360,27.4,53.069
483660,6504976,29.0,52.582
483868,6504620,28.6,53.069
484092,6504392,27.4,52.582
484260,6504208,28.6,53.069
484228,6504284,29.0,53.069
484224,6504284,26.2,53.556
484472,6504032,27.4,53.069
484324,6504180,27.9,53.556
484340,6504032,27.4,52.582
484440,6503928,28.6,54.043
484412,6503952,27.4,52.582
484344,6504004,27.9,53.069
484240,6504088,27.4,52.582
484268,6504088,26.2,53.069
485336,6503984,27.9,53.069
485488,6503852,26.2,53.069
485488,6503852,27.9,52.582
485488,6503852,28.6,52.582
485488,6503852,26.2,52.582
485564,6503764,27.9,52.095
484376,6498236,36.5,53.556
484008,6498588,27.0,53.556
483880,6498588,28.6,52.095
484156,6498332,27.4,53.556
484260,6498228,27.9,53.556
484384,6498096,27.4,53.556
483896,6498584,27.9,53.069
483996,6498480,27.4,52.582
484500,6497976,27.4,54.043
484352,6497992,27.9,53.556
483984,6498356,25.0,52.095
484296,6498024,28.6,53.069
484284,6498068,27.9,53.069
483904,6500972,26.2,53.069
484216,6500796,27.9,53.556
484196,6500812,27.4,53.069
484084,6500796,29.7,54.043
484216,6500664,26.7,53.556
483952,6500924,26.2,54.043
484068,6500804,28.6,53.556
484172,6500696,26.7,53.556
483936,6500960,27.4,52.582
484552,6500340,27.4,53.069
484408,6500352,27.4,53.069
484652,6500104,27.4,53.556
484368,6500356,26.7,53.069
485592,6500156,26.2,53.069
485348,6500380,26.2,54.043
485320,6500404,29.0,53.556
485480,6500256,26.2,52.582
484864,6500744,28.6,53.069
485360,6500240,27.4,52.582
485436,6500240,27.9,53.069
485416,6500256,26.2,52.582
485500,6500168,27.4,52.582
485500,6500148,29.0,52.582
485716,6499928,27.4,52.582
485500,6500028,27.4,53.069
485524,6500028,27.4,53.556
485768,6499776,26.7,54.043
485636,6499908,28.6,54.043
485280,6500264,26.2,53.556
485608,6499932,27.9,54.043
485592,6499932,28.6,53.556
485680,6499712,27.4,53.556
485692,6499708,28.6,53.069
484692,6499812,26.7,53.069
485044,6499456,28.6,53.556
484680,6499812,26.2,52.582
485028,6499456,28.6,53.556
484276,6500072,26.7,52.582
484760,6499464,27.4,53.556
484736,6499488,27.4,53.069
484988,6499252,29.0,53.556
484884,6499356,26.2,54.043
484652,6499592,27.4,54.043
484652,6499592,27.4,53.069
484980,6499236,29.0,53.556
485064,6499020,27.4,53.069
485056,6499012,26.2,55.017
484688,6499376,26.2,53.556
485056,6499020,27.9,55.017
485184,6498888,27.4,53.069
485288,6498784,27.4,54.53
485176,6498888,26.7,54.043
486032,6498784,28.6,54.043
486140,6498808,27.9,53.556
486372,6498556,25.0,54.043
486164,6498832,29.0,54.043
486428,6498580,29.7,54.043
486188,6498832,26.7,54.043
486460,6498432,26.2,53.556
486060,6498832,27.9,54.043
486460,6498432,27.4,53.556
486296,6498596,29.0,53.556
486432,6498444,28.6,52.582
486268,6498608,27.9,54.043
486256,6498620,27.9,55.017
486696,6498084,28.6,54.043
485544,6498348,26.7,55.017
485200,6498692,28.6,55.504
485484,6498408,26.7,54.043
485428,6498464,28.6,54.043
485496,6498212,26.7,53.069
485220,6498488,26.2,53.556
485356,6498236,29.0,53.556
485944,6497644,26.2,53.556
485584,6498000,27.9,53.556
485688,6497896,27.9,54.043
485580,6498000,27.4,55.017
485320,6498260,26.7,54.043
485856,6497724,27.4,54.043
485672,6497780,27.9,53.556
485440,6498044,27.4,54.043
486060,6497424,26.2,54.043
485796,6497688,27.9,54.043
485992,6497440,29.0,55.017
486772,6497544,28.6,53.556
486644,6497804,27.9,54.53
486600,6497700,26.2,54.53
486236,6498064,29.0,54.53
486672,6497576,26.7,54.53
486980,6497264,27.4,54.043
486480,6497844,29.0,55.017
487608,6496716,27.4,54.043
487344,6496980,26.7,54.043
487204,6496992,27.4,54.53
487192,6497004,26.7,53.556
487436,6496760,27.4,54.043
487080,6497112,29.0,55.017
487080,6497112,26.7,54.53
487080,6497112,27.4,55.017
486056,6497112,29.0,53.556
485908,6497260,26.2,55.017
486256,6496780,27.9,53.556
485984,6497032,27.4,54.043
486212,6496804,27.9,54.043
486244,6496804,27.4,54.043
486484,6496564,27.9,55.017
486244,6496804,27.9,54.53
486188,6496860,26.2,55.017
486368,6496552,28.6,54.043
486056,6496828,27.9,53.556
485948,6496916,26.7,54.043
486024,6496836,27.4,54.53
485996,6496880,29.0,54.53
486036,6496836,25.0,54.53
486284,6496584,27.9,54.53
486412,6496452,27.4,53.069
486968,6496656,26.7,54.043
487016,6496608,27.4,53.556
487656,6496116,27.9,54.043
487392,6496380,26.2,54.53
487184,6496620,29.0,54.043
487468,6496336,26.2,54.53
487096,6496636,27.9,54.043
487232,6496368,26.2,54.53
487424,6496176,27.4,54.043
487100,6496496,29.0,54.53
487412,6496244,25.4,54.043
487144,6496512,28.6,54.53
487416,6496256,27.9,54.043
486632,6499852,26.2,55.017
486572,6500052,27.9,55.017
486444,6500052,28.6,53.556
485704,6499800,26.7,54.043
485452,6500052,29.0,54.53
485808,6499696,27.9,54.53
485448,6500052,27.9,54.043
485696,6499800,26.2,54.043
484936,6500556,29.0,54.043
485320,6500036,26.2,54.53
485400,6499948,29.0,54.043
485364,6499976,26.2,54.043
485576,6499784,27.9,55.017
485664,6499696,26.2,54.53
485808,6499548,27.9,53.556
485320,6500036,26.7,54.043
485316,6500036,28.6,55.017
485796,6499428,26.2,54.043
485420,6499800,27.9,54.043
485768,6499444,27.4,55.504
486436,6499696,26.7,55.017
486476,6499800,27.9,54.53
486340,6499932,27.4,54.043
486588,6499680,27.9,54.53
486588,6499548,28.6,55.017
486600,6499548,26.7,54.043
486600,6499548,26.2,55.017
486348,6499800,27.9,55.017
486600,6499548,27.4,54.043
486600,6499548,26.7,54.53
486448,6499696,27.4,54.53
486592,6499548,27.9,55.017
486716,6499296,27.4,54.53
486568,6499444,26.2,54.043
486816,6499192,26.2,54.53
486220,6499784,27.0,55.017
485832,6499280,27.4,55.504
485876,6499236,28.6,55.017
486032,6498940,27.4,55.017
485544,6499296,28.6,54.043
485540,6499296,27.4,55.017
485644,6499192,26.7,55.504
485640,6499192,27.4,55.017
485296,6499532,27.9,54.043
485672,6499192,26.2,54.043
485568,6499296,27.9,54.53
485820,6499044,26.2,55.017
485692,6499044,29.7,54.53
485796,6498940,27.9,54.043
485440,6499296,28.6,54.043
485692,6499044,27.9,55.017
485536,6499192,26.2,54.53
486676,6498940,29.0,55.017
486708,6499044,27.0,55.504
486684,6498940,26.7,55.017
485396,6500228,30.2,54.53
484800,6500836,26.7,54.53
485156,6500480,26.2,55.017
485140,6500492,29.0,55.017
484896,6500732,27.4,55.504
485040,6500584,29.0,55.017
485172,6500448,27.4,55.017
485096,6500460,27.9,55.991
485080,6500472,27.4,55.017
484976,6500584,26.7,55.017
484976,6500584,27.9,55.504
485228,6500332,27.4,55.017
484976,6500584,27.9,55.504
485480,6500080,27.4,56.478
485576,6498828,27.9,55.991
485440,6498964,27.9,56.478
485588,6498816,26.2,55.017
485572,6498832,27.9,55.991
485588,6498816,27.9,55.017
485572,6498832,27.4,55.504
485320,6499084,27.9,55.504
485712,6498712,26.2,55.017
485732,6498564,29.0,55.991
485584,6498712,26.2,55.991
485584,6498712,26.7,55.504
485732,6498564,28.6,55.017
485836,6498460,29.0,54.043
485732,6498564,29.0,55.991
485820,6498476,27.4,55.504
485732,6499320,27.9,55.017
485596,6499452,26.2,55.991
485636,6499556,27.9,55.017
485868,6499320,27.9,55.991
485864,6499320,26.2,55.504
