ram_used,ram_ava,cpu,temp
479392,6426380,60.0,60.374
486148,6410700,34.4,59.887
487128,6408536,66.0,60.861
488232,6407008,55.3,60.374
488204,6407024,54.1,61.348
488236,6406992,52.6,59.887
488272,6406756,53.8,60.861
488260,6406768,52.6,60.861
488136,6406884,52.6,60.374
487916,6406660,51.3,60.861
487400,6407176,54.3,61.348
486884,6407692,52.6,62.322
486664,6407912,54.1,61.348
486148,6408428,52.8,60.861
486040,6408536,52.8,61.348
486428,6408148,54.1,61.835
486264,6407276,55.3,61.835
486308,6407172,52.8,62.322
486204,6407276,55.6,62.322
485008,6414244,52.8,61.835
486120,6413132,54.1,61.835
486508,6412744,54.1,62.322
486244,6413008,52.8,61.835
486380,6412872,52.8,61.348
486264,6412988,52.8,62.322
486252,6413000,54.1,61.835
486136,6413116,55.3,62.322
486884,6412376,52.8,62.809
486960,6412376,54.1,62.809
486844,6412492,54.1,61.835
487084,6413584,52.8,63.296
487072,6413596,52.8,62.809
487356,6413312,54.1,62.322
487284,6413384,55.3,62.809
487420,6413248,52.8,63.296
487156,6413512,54.1,62.809
487396,6413272,52.8,63.783
487428,6413240,52.8,63.783
487432,6413252,51.4,63.296
487188,6413500,54.1,63.296
487324,6413364,54.1,63.783
487940,6413636,53.8,62.322
488308,6413264,52.8,63.296
486684,6415028,52.6,64.757
485412,6416300,55.3,62.809
485444,6416268,52.8,63.296
485580,6416132,52.8,62.809
485568,6416144,51.4,62.809
485600,6416112,54.1,63.783
485792,6414896,54.1,63.783
485928,6414760,52.8,63.296
485916,6414772,54.1,62.809
485800,6414888,54.1,62.809
486084,6414604,54.1,63.783
485820,6414868,54.1,64.27
485912,6414776,52.8,62.809
485808,6414880,52.8,64.27
486092,6414596,55.3,63.296
486148,6414540,52.8,64.757
485884,6414804,52.8,64.757
486040,6414644,54.1,63.783
485924,6414760,52.6,64.27
485912,6414772,54.1,64.27
485648,6415036,54.1,64.757
485932,6414752,54.1,64.27
485816,6414868,52.8,63.783
486040,6414644,54.1,64.27
485924,6414760,52.8,63.296
485864,6414820,52.8,63.296
485896,6414788,54.1,65.244
485784,6414896,52.8,64.27
485924,6414760,55.3,64.27
485808,6414876,54.1,64.27
485796,6415776,54.1,64.27
485532,6416040,52.8,64.27
486172,6415400,52.8,64.757
486056,6415516,54.1,65.244
485792,6415780,55.3,64.757
486024,6415548,52.8,65.731
486056,6415516,52.8,63.783
486044,6415528,54.1,64.757
485780,6415792,52.8,64.27
485804,6414880,55.3,64.757
485924,6414760,54.1,64.27
486060,6414624,52.8,63.783
485796,6414888,55.3,64.757
486080,6414604,52.8,64.27
486160,6414524,54.1,63.783
486148,6414536,50.0,65.731
486684,6414000,55.6,64.757
486428,6414264,52.6,64.27
486564,6414128,52.8,64.27
486040,6414644,52.6,63.783
485672,6415012,55.3,65.731
485156,6415528,55.3,64.757
485040,6415644,55.6,64.757
485072,6415612,51.4,65.244
485060,6415624,54.1,66.218
485092,6415592,54.1,64.27
485032,6415652,52.8,65.244
485172,6415516,52.8,65.244
484908,6415780,52.8,65.731
485044,6415644,54.1,65.244
484900,6415784,54.1,65.244
485036,6415648,55.3,65.731
484920,6415764,54.1,66.218
484316,6418144,54.1,65.244
484792,6417668,54.1,64.757
484824,6417636,54.1,65.731
484812,6417648,52.8,65.731
484912,6417548,52.8,65.244
484900,6417560,52.8,64.757
484940,6417528,52.8,66.705
485076,6417392,54.1,65.731
485056,6417416,52.8,66.218
485176,6416408,55.3,66.218
485060,6416524,52.8,64.757
485196,6416388,52.8,65.244
485228,6416356,52.8,66.218
485428,6416156,55.3,65.731
485564,6416020,51.4,65.731
485552,6416032,54.1,65.731
485532,6416052,54.1,66.218
485268,6416316,52.8,66.218
485564,6416032,54.1,66.218
484556,6416896,52.8,66.218
484784,6416660,50.0,65.244
484664,6416776,50.0,66.218
484796,6416640,52.6,66.218
484776,6416660,52.6,66.218
484908,6416524,51.4,67.192
484644,6416788,52.6,66.218
485024,6416408,51.3,65.731
484832,6416524,53.8,66.218
484820,6416536,52.5,66.218
484732,6416660,52.5,66.218
484868,6416524,51.4,66.705
484752,6416640,55.0,66.218
484004,6418424,51.3,66.218
484760,6417652,52.6,65.731
484748,6417664,53.8,65.244
484632,6417780,53.8,65.731
484756,6417644,51.3,65.731
484788,6417612,53.8,66.218
484976,6417416,52.6,66.218
483988,6418424,51.4,66.705
484124,6418288,53.8,65.731
484516,6417904,51.3,66.218
484636,6416896,55.3,66.218
484668,6416864,52.6,65.731
484992,6416540,52.5,66.705
484728,6416804,51.4,65.731
485012,6416520,52.6,65.731
484748,6416784,53.8,66.218
484632,6416900,53.8,66.218
484620,6416912,52.6,66.705
484488,6416896,51.4,66.705
484472,6416908,52.6,65.731
485232,6416156,52.6,67.192
486252,6415132,53.8,67.679
486280,6415100,51.4,66.218
486120,6415260,52.6,66.705
485972,6415400,52.6,66.705
486356,6415012,52.6,67.679
486092,6415276,51.4,66.705
485984,6415392,55.0,66.218
485752,6415652,51.4,66.705
485880,6415516,51.4,65.731
485764,6415632,53.8,65.731
485752,6415644,51.4,66.218
485784,6415612,52.6,66.705
485816,6415580,53.7,66.218
485996,6415400,51.4,66.218
486352,6415044,56.4,67.192
485564,6415812,51.3,66.705
485952,6415424,52.5,66.218
484568,6416800,51.3,66.705
484572,6416808,53.8,66.705
484556,6416820,51.4,67.192
484476,6417936,51.3,65.731
484508,6417904,52.6,66.218
484576,6417832,52.5,65.731
484588,6416928,55.3,67.679
484688,6416824,51.4,67.679
484564,6416944,52.6,65.731
486072,6415432,52.5,67.192
486164,6415328,52.6,67.679
485924,6415432,51.4,66.218
485804,6415548,52.6,67.679
486032,6415312,52.6,66.705
485760,6415576,53.8,67.192
486044,6415292,52.6,68.166
485780,6415556,53.8,66.705
485904,6415420,52.6,65.731
484728,6416596,50.0,67.679
484708,6416612,52.6,67.679
484692,6416624,50.0,66.705
484716,6416596,52.6,67.679
484592,6416712,52.6,66.218
484700,6416596,52.6,67.679
484580,6416712,51.4,66.705
485604,6415688,53.8,66.705
487072,6414208,52.8,67.192
487208,6414072,55.3,66.705
487344,6413936,52.8,67.679
487080,6414200,54.1,67.679
487364,6413916,51.4,66.218
487100,6414180,54.1,66.705
487208,6414088,52.8,66.218
487092,6414204,55.3,67.192
487480,6413816,54.1,67.192
486328,6415856,54.1,67.192
487100,6415084,52.8,67.679
487088,6415096,52.8,67.679
486824,6415360,52.8,68.166
487088,6414208,54.1,67.679
486972,6414324,54.1,68.166
487360,6413936,52.6,67.192
487096,6414200,52.8,67.679
487404,6413956,52.8,67.679
487288,6414072,55.3,67.192
487172,6414188,54.1,68.166
487160,6414200,52.8,67.192
487508,6413852,53.8,68.166
487496,6413864,54.1,67.679
487508,6413852,54.1,66.705
487496,6413864,54.1,66.218
487508,6413852,54.1,66.705
487748,6413612,52.8,67.679
488012,6413348,54.1,68.653
487624,6413704,55.3,67.192
487760,6413568,52.6,68.166
486908,6417232,54.3,68.166
487784,6416356,53.8,67.679
487520,6416620,54.1,67.192
487508,6416632,54.1,67.192
487244,6416896,55.3,67.192
487276,6416864,52.8,67.679
487264,6416876,52.8,67.679
487296,6416844,53.8,67.192
487536,6416604,52.8,66.218
487596,6416696,54.1,66.705
487584,6416708,54.1,68.166
487468,6417712,54.1,67.192
487696,6417484,54.1,67.192
487580,6417600,52.8,68.653
487568,6417612,54.1,67.679
487800,6417380,52.8,68.166
487816,6416476,54.1,68.166
487952,6416340,52.6,67.679
487688,6416604,54.1,67.679
488076,6416224,52.8,67.679
487960,6416340,52.8,68.166
487696,6416604,54.1,68.166
487832,6416468,52.8,68.166
487716,6416584,54.1,68.166
487852,6416448,54.1,67.679
488076,6416224,55.3,68.166
488212,6416088,50.0,67.679
487948,6416352,54.1,68.166
488084,6416216,54.1,68.166
487588,6416712,54.1,68.653
487580,6416712,52.8,68.653
487936,6416356,52.6,66.705
487672,6416620,54.1,67.679
488060,6416232,54.1,68.166
487692,6416600,55.3,67.679
487920,6416372,51.4,67.679
487952,6416340,55.3,67.679
487688,6416604,54.1,68.653
487676,6416616,52.8,68.166
487412,6416880,54.1,68.166
487696,6416596,52.6,67.679
487868,6416476,54.1,68.166
488004,6416340,51.4,67.679
487592,6417640,55.3,68.166
487580,6417652,51.4,67.679
487612,6417620,55.3,68.166
487348,6417884,52.8,67.679
487884,6417348,52.8,67.679
487620,6417612,54.1,68.653
487868,6416476,55.3,67.679
487752,6416592,51.4,67.679
487972,6416372,52.8,67.679
488120,6416224,56.4,68.653
488256,6416088,52.8,68.166
487992,6416352,52.8,68.166
487728,6416616,53.8,68.166
487856,6416476,52.8,67.679
487740,6416592,52.8,67.192
488128,6416204,55.3,68.653
488108,6416224,52.8,68.166
488244,6416088,52.8,67.192
488084,6410180,66.7,67.192
489912,6408312,54.1,69.14
489648,6408576,52.8,69.14
489636,6408588,55.3,68.166
489660,6408564,52.8,69.627
489912,6408312,55.3,67.679
489900,6408324,54.1,68.166
489808,6408416,54.1,69.14
490196,6408028,52.8,68.166
489488,6408736,51.4,67.679
489484,6408740,54.1,67.679
489768,6408456,54.1,67.679
489624,6408580,55.3,67.679
489612,6408592,51.4,68.653
489452,6409640,55.3,67.192
489656,6409436,54.1,68.653
489496,6409596,52.8,68.653
488900,6410192,52.6,68.653
489552,6409676,54.1,69.14
490324,6408904,52.8,69.14
488916,6409424,52.8,68.653
