ram_used,ram_ava,cpu,temp
486496,6024188,6.5,56.478
ram_used,ram_ava,cpu,temp
507788,5994644,35.3,57.452
ram_used,ram_ava,cpu,temp
505236,5996372,36.4,57.939
ram_used,ram_ava,cpu,temp
498328,6002724,31.3,58.426
ram_used,ram_ava,cpu,temp
511720,5989328,31.6,58.913
ram_used,ram_ava,cpu,temp
511880,5989164,32.1,58.426
ram_used,ram_ava,cpu,temp
510008,5991036,31.9,58.426
ram_used,ram_ava,cpu,temp
513320,5987724,33.1,57.452
ram_used,ram_ava,cpu,temp
517708,5983320,32.6,59.4
ram_used,ram_ava,cpu,temp
510500,5994264,34.3,58.426
ram_used,ram_ava,cpu,temp
509900,5994864,30.9,60.374
ram_used,ram_ava,cpu,temp
510248,5994252,30.8,58.913
ram_used,ram_ava,cpu,temp
491668,6012832,33.3,59.887
ram_used,ram_ava,cpu,temp
509152,5995348,33.1,59.4
ram_used,ram_ava,cpu,temp
493940,6010560,34.0,59.4
ram_used,ram_ava,cpu,temp
511932,5992568,32.4,59.4
ram_used,ram_ava,cpu,temp
521144,5982332,32.6,59.887
ram_used,ram_ava,cpu,temp
493136,6010344,33.3,59.4
ram_used,ram_ava,cpu,temp
494948,6008536,30.8,59.887
ram_used,ram_ava,cpu,temp
497056,6006408,32.1,59.887
ram_used,ram_ava,cpu,temp
494016,6009444,31.9,60.374
ram_used,ram_ava,cpu,temp
510728,5992724,34.1,59.887
ram_used,ram_ava,cpu,temp
510316,5993136,31.5,59.4
ram_used,ram_ava,cpu,temp
510404,5994068,34.6,60.861
ram_used,ram_ava,cpu,temp
511224,5993096,31.1,60.374
ram_used,ram_ava,cpu,temp
492756,6011456,32.1,60.861
ram_used,ram_ava,cpu,temp
494276,6009932,31.1,61.835
ram_used,ram_ava,cpu,temp
494080,6010128,32.4,59.887
ram_used,ram_ava,cpu,temp
495844,6008360,32.4,61.835
ram_used,ram_ava,cpu,temp
495644,6008560,32.4,60.374
ram_used,ram_ava,cpu,temp
493060,6010120,31.4,60.374
ram_used,ram_ava,cpu,temp
494352,6008824,32.6,60.861
ram_used,ram_ava,cpu,temp
495756,6007416,32.6,61.835
ram_used,ram_ava,cpu,temp
496716,6006464,29.9,60.374
ram_used,ram_ava,cpu,temp
495184,6007996,34.5,60.374
ram_used,ram_ava,cpu,temp
491612,6011568,30.9,60.861
ram_used,ram_ava,cpu,temp
508328,5994588,31.9,61.348
ram_used,ram_ava,cpu,temp
510272,5993236,33.6,60.861
ram_used,ram_ava,cpu,temp
510728,5992780,31.8,61.835
ram_used,ram_ava,cpu,temp
511148,5992256,32.9,61.835
ram_used,ram_ava,cpu,temp
495724,6007680,33.6,60.861
ram_used,ram_ava,cpu,temp
492800,6010604,31.6,60.861
ram_used,ram_ava,cpu,temp
509568,5993784,31.4,59.887
ram_used,ram_ava,cpu,temp
510444,5992912,33.3,61.835
ram_used,ram_ava,cpu,temp
510148,5992180,31.6,62.322
ram_used,ram_ava,cpu,temp
511028,5991300,32.6,60.861
ram_used,ram_ava,cpu,temp
512124,5990204,34.5,61.348
ram_used,ram_ava,cpu,temp
512368,5989700,31.4,61.348
ram_used,ram_ava,cpu,temp
513144,5988928,33.8,61.348
ram_used,ram_ava,cpu,temp
512088,5989988,31.5,60.861
ram_used,ram_ava,cpu,temp
511656,5990412,31.5,61.835
ram_used,ram_ava,cpu,temp
510440,5992640,30.7,62.322
ram_used,ram_ava,cpu,temp
511864,5991212,33.6,60.861
ram_used,ram_ava,cpu,temp
510080,5992996,30.3,61.348
ram_used,ram_ava,cpu,temp
512912,5990164,29.0,60.861
ram_used,ram_ava,cpu,temp
512864,5990212,32.0,62.322
ram_used,ram_ava,cpu,temp
509896,5993180,32.2,61.835
ram_used,ram_ava,cpu,temp
510636,5992184,33.8,61.348
ram_used,ram_ava,cpu,temp
511464,5991352,34.0,61.835
ram_used,ram_ava,cpu,temp
510176,5991628,33.6,61.835
ram_used,ram_ava,cpu,temp
510784,5991024,32.9,62.322
ram_used,ram_ava,cpu,temp
511992,5989808,32.2,62.809
ram_used,ram_ava,cpu,temp
512332,5989468,29.9,60.861
ram_used,ram_ava,cpu,temp
512444,5989356,30.6,61.835
ram_used,ram_ava,cpu,temp
509460,5992344,32.7,62.322
ram_used,ram_ava,cpu,temp
511040,5990768,31.0,60.861
ram_used,ram_ava,cpu,temp
511124,5990668,32.0,61.835
ram_used,ram_ava,cpu,temp
512236,5989288,32.0,62.322
ram_used,ram_ava,cpu,temp
510924,5991484,31.2,60.861
ram_used,ram_ava,cpu,temp
512160,5990392,32.2,61.348
ram_used,ram_ava,cpu,temp
512784,5989772,31.2,62.322
ram_used,ram_ava,cpu,temp
513608,5988952,33.8,62.809
ram_used,ram_ava,cpu,temp
514460,5988092,34.2,61.835
ram_used,ram_ava,cpu,temp
513876,5987652,31.7,62.322
ram_used,ram_ava,cpu,temp
513844,5987684,31.3,62.322
ram_used,ram_ava,cpu,temp
513936,5987592,31.3,60.861
ram_used,ram_ava,cpu,temp
513880,5987500,32.4,62.809
ram_used,ram_ava,cpu,temp
514112,5987148,33.1,61.835
ram_used,ram_ava,cpu,temp
514200,5987060,31.2,62.322
ram_used,ram_ava,cpu,temp
512076,5989184,32.1,62.322
ram_used,ram_ava,cpu,temp
511576,5989684,32.9,61.835
ram_used,ram_ava,cpu,temp
512436,5989848,31.5,62.322
ram_used,ram_ava,cpu,temp
513152,5989132,32.6,61.835
ram_used,ram_ava,cpu,temp
513068,5989208,31.9,62.809
ram_used,ram_ava,cpu,temp
513940,5988336,34.0,62.322
ram_used,ram_ava,cpu,temp
514300,5987976,33.8,62.809
ram_used,ram_ava,cpu,temp
511812,5990464,31.9,62.322
ram_used,ram_ava,cpu,temp
513360,5987628,34.0,63.296
ram_used,ram_ava,cpu,temp
512196,5988792,32.4,62.322
ram_used,ram_ava,cpu,temp
511848,5989140,29.7,62.322
ram_used,ram_ava,cpu,temp
494928,6005616,33.1,61.835
ram_used,ram_ava,cpu,temp
496236,6004208,29.2,64.757
ram_used,ram_ava,cpu,temp
493032,6007408,31.9,63.296
ram_used,ram_ava,cpu,temp
495504,6004932,34.5,63.296
ram_used,ram_ava,cpu,temp
495532,6004908,32.6,62.322
ram_used,ram_ava,cpu,temp
495060,6006396,30.2,62.322
ram_used,ram_ava,cpu,temp
495048,6006408,32.4,62.809
ram_used,ram_ava,cpu,temp
509880,5991576,29.6,62.809
ram_used,ram_ava,cpu,temp
510196,5991108,31.7,63.296
ram_used,ram_ava,cpu,temp
510672,5990512,31.9,63.296
ram_used,ram_ava,cpu,temp
513924,5987256,31.9,62.809
ram_used,ram_ava,cpu,temp
516032,5985148,33.3,62.322
ram_used,ram_ava,cpu,temp
494184,6005976,33.1,63.296
ram_used,ram_ava,cpu,temp
494052,6006104,33.1,63.783
ram_used,ram_ava,cpu,temp
495196,6004956,30.9,62.322
ram_used,ram_ava,cpu,temp
495604,6004548,33.8,62.809
ram_used,ram_ava,cpu,temp
496000,6004148,32.6,62.809
ram_used,ram_ava,cpu,temp
493584,6006560,33.3,63.783
ram_used,ram_ava,cpu,temp
496524,6003628,29.6,61.835
ram_used,ram_ava,cpu,temp
512072,5988812,30.2,63.783
ram_used,ram_ava,cpu,temp
512812,5988064,32.4,62.809
ram_used,ram_ava,cpu,temp
512524,5988352,31.9,63.783
ram_used,ram_ava,cpu,temp
511256,5989616,32.6,62.809
ram_used,ram_ava,cpu,temp
511964,5988900,32.7,62.322
ram_used,ram_ava,cpu,temp
492608,6008256,28.9,62.809
ram_used,ram_ava,cpu,temp
495532,6005332,30.0,63.296
ram_used,ram_ava,cpu,temp
495456,6005404,32.6,62.809
ram_used,ram_ava,cpu,temp
495756,6004216,31.9,62.809
ram_used,ram_ava,cpu,temp
493588,6006384,33.1,64.27
ram_used,ram_ava,cpu,temp
492020,6007808,34.1,62.809
ram_used,ram_ava,cpu,temp
493868,6005960,30.0,63.296
ram_used,ram_ava,cpu,temp
496132,6003432,30.6,63.296
ram_used,ram_ava,cpu,temp
494640,6004928,31.9,63.783
ram_used,ram_ava,cpu,temp
494332,6005220,33.1,63.296
ram_used,ram_ava,cpu,temp
493084,6006472,29.7,64.27
ram_used,ram_ava,cpu,temp
494848,6004704,31.9,62.809
ram_used,ram_ava,cpu,temp
509548,5990888,30.9,63.296
ram_used,ram_ava,cpu,temp
509592,5990992,33.6,62.809
ram_used,ram_ava,cpu,temp
511464,5989124,32.8,63.783
ram_used,ram_ava,cpu,temp
513096,5987512,30.9,63.783
ram_used,ram_ava,cpu,temp
512528,5988072,32.4,63.783
ram_used,ram_ava,cpu,temp
511480,5989124,31.3,63.296
ram_used,ram_ava,cpu,temp
512068,5987256,30.7,63.783
ram_used,ram_ava,cpu,temp
512420,5986896,32.4,63.783
ram_used,ram_ava,cpu,temp
511104,5988216,33.1,64.27
ram_used,ram_ava,cpu,temp
509440,5989884,32.8,63.296
ram_used,ram_ava,cpu,temp
510472,5988844,29.9,63.783
ram_used,ram_ava,cpu,temp
510776,5988544,31.9,63.296
ram_used,ram_ava,cpu,temp
511132,5988188,29.9,63.783
ram_used,ram_ava,cpu,temp
511568,5987744,32.4,63.783
ram_used,ram_ava,cpu,temp
509216,5991124,30.9,63.296
ram_used,ram_ava,cpu,temp
510080,5990252,31.3,63.783
ram_used,ram_ava,cpu,temp
510720,5989612,31.9,64.757
ram_used,ram_ava,cpu,temp
511372,5988960,30.1,63.783
ram_used,ram_ava,cpu,temp
511396,5988672,30.4,63.783
ram_used,ram_ava,cpu,temp
511752,5988316,34.7,63.296
ram_used,ram_ava,cpu,temp
509016,5991052,30.6,62.809
ram_used,ram_ava,cpu,temp
510192,5988852,32.6,64.27
ram_used,ram_ava,cpu,temp
510288,5988760,33.1,64.757
ram_used,ram_ava,cpu,temp
511812,5987240,33.1,63.296
ram_used,ram_ava,cpu,temp
512408,5986632,32.4,63.296
ram_used,ram_ava,cpu,temp
494740,6004300,30.0,63.783
ram_used,ram_ava,cpu,temp
494088,6004952,33.1,63.296
ram_used,ram_ava,cpu,temp
492928,6006112,31.3,63.783
ram_used,ram_ava,cpu,temp
493068,6006988,30.7,63.783
ram_used,ram_ava,cpu,temp
495736,6004320,32.1,63.783
ram_used,ram_ava,cpu,temp
494968,6004936,30.3,63.783
ram_used,ram_ava,cpu,temp
497388,6002512,31.9,63.783
ram_used,ram_ava,cpu,temp
497348,6002444,31.7,63.783
ram_used,ram_ava,cpu,temp
495316,6004480,30.9,63.783
ram_used,ram_ava,cpu,temp
496600,6003200,31.2,63.296
ram_used,ram_ava,cpu,temp
509904,5989888,31.3,64.27
ram_used,ram_ava,cpu,temp
509724,5989044,32.8,63.783
ram_used,ram_ava,cpu,temp
511576,5987192,30.4,63.783
ram_used,ram_ava,cpu,temp
511180,5987588,30.4,64.757
ram_used,ram_ava,cpu,temp
511636,5987132,30.1,64.757
ram_used,ram_ava,cpu,temp
511916,5986856,33.1,64.757
ram_used,ram_ava,cpu,temp
512468,5986032,31.9,63.296
ram_used,ram_ava,cpu,temp
512008,5986480,30.4,63.783
ram_used,ram_ava,cpu,temp
512340,5986144,30.7,64.27
ram_used,ram_ava,cpu,temp
512156,5986324,32.9,63.296
ram_used,ram_ava,cpu,temp
513408,5985956,31.7,64.757
ram_used,ram_ava,cpu,temp
513940,5985604,34.3,64.757
ram_used,ram_ava,cpu,temp
513280,5986264,30.1,65.244
ram_used,ram_ava,cpu,temp
